"measurementID","measurementDeterminedBy","basisOfRecord","references"
1,"de Nevers","PreservedSpecimen","Henderson, A. (2020a). A revision of Attalea (Arecaceae, Arecoideae, Cocoseae, Attaleinae). Phytotaxa, 444(1), 1-76."
2,"Hammel","PreservedSpecimen","Henderson, A. (2020a). A revision of Attalea (Arecaceae, Arecoideae, Cocoseae, Attaleinae). Phytotaxa, 444(1), 1-76."
3,"Croat","PreservedSpecimen","Henderson, A. (2020a). A revision of Attalea (Arecaceae, Arecoideae, Cocoseae, Attaleinae). Phytotaxa, 444(1), 1-76."
4,"Sugden","PreservedSpecimen","Henderson, A. (2020a). A revision of Attalea (Arecaceae, Arecoideae, Cocoseae, Attaleinae). Phytotaxa, 444(1), 1-76."
5,"Anderson","PreservedSpecimen","Henderson, A. (2020a). A revision of Attalea (Arecaceae, Arecoideae, Cocoseae, Attaleinae). Phytotaxa, 444(1), 1-76."
6,"Duke","PreservedSpecimen","Henderson, A. (2020a). A revision of Attalea (Arecaceae, Arecoideae, Cocoseae, Attaleinae). Phytotaxa, 444(1), 1-76."
7,"Bernal","PreservedSpecimen","Henderson, A. (2020a). A revision of Attalea (Arecaceae, Arecoideae, Cocoseae, Attaleinae). Phytotaxa, 444(1), 1-76."
8,"Betancur","PreservedSpecimen","Henderson, A. (2020a). A revision of Attalea (Arecaceae, Arecoideae, Cocoseae, Attaleinae). Phytotaxa, 444(1), 1-76."
9,"Garcia","PreservedSpecimen","Henderson, A. (2020a). A revision of Attalea (Arecaceae, Arecoideae, Cocoseae, Attaleinae). Phytotaxa, 444(1), 1-76."
10,"Lao","PreservedSpecimen","Henderson, A. (2020a). A revision of Attalea (Arecaceae, Arecoideae, Cocoseae, Attaleinae). Phytotaxa, 444(1), 1-76."
11,"King","PreservedSpecimen","Henderson, A. (2020a). A revision of Attalea (Arecaceae, Arecoideae, Cocoseae, Attaleinae). Phytotaxa, 444(1), 1-76."
12,"Gordon","PreservedSpecimen","Henderson, A. (2020a). A revision of Attalea (Arecaceae, Arecoideae, Cocoseae, Attaleinae). Phytotaxa, 444(1), 1-76."
13,"Galeano","PreservedSpecimen","Henderson, A. (2020a). A revision of Attalea (Arecaceae, Arecoideae, Cocoseae, Attaleinae). Phytotaxa, 444(1), 1-76."
14,"Moore","PreservedSpecimen","Henderson, A. (2020a). A revision of Attalea (Arecaceae, Arecoideae, Cocoseae, Attaleinae). Phytotaxa, 444(1), 1-76."
15,"Antonio","PreservedSpecimen","Henderson, A. (2020a). A revision of Attalea (Arecaceae, Arecoideae, Cocoseae, Attaleinae). Phytotaxa, 444(1), 1-76."
16,"Gentry","PreservedSpecimen","Henderson, A. (2020a). A revision of Attalea (Arecaceae, Arecoideae, Cocoseae, Attaleinae). Phytotaxa, 444(1), 1-76."
17,"Monsalve","PreservedSpecimen","Henderson, A. (2020a). A revision of Attalea (Arecaceae, Arecoideae, Cocoseae, Attaleinae). Phytotaxa, 444(1), 1-76."
18,"Killip","PreservedSpecimen","Henderson, A. (2020a). A revision of Attalea (Arecaceae, Arecoideae, Cocoseae, Attaleinae). Phytotaxa, 444(1), 1-76."
19,"Cuatrecasas","PreservedSpecimen","Henderson, A. (2020a). A revision of Attalea (Arecaceae, Arecoideae, Cocoseae, Attaleinae). Phytotaxa, 444(1), 1-76."
20,"Cook","PreservedSpecimen","Henderson, A. (2020a). A revision of Attalea (Arecaceae, Arecoideae, Cocoseae, Attaleinae). Phytotaxa, 444(1), 1-76."
21,"Allen","PreservedSpecimen","Henderson, A. (2020a). A revision of Attalea (Arecaceae, Arecoideae, Cocoseae, Attaleinae). Phytotaxa, 444(1), 1-76."
22,"Cuadros","PreservedSpecimen","Henderson, A. (2020a). A revision of Attalea (Arecaceae, Arecoideae, Cocoseae, Attaleinae). Phytotaxa, 444(1), 1-76."
23,"Patino","PreservedSpecimen","Henderson, A. (2020a). A revision of Attalea (Arecaceae, Arecoideae, Cocoseae, Attaleinae). Phytotaxa, 444(1), 1-76."
24,"Noblick","PreservedSpecimen","Henderson, A. (2020a). A revision of Attalea (Arecaceae, Arecoideae, Cocoseae, Attaleinae). Phytotaxa, 444(1), 1-76."
25,"Vieira","PreservedSpecimen","Henderson, A. (2020a). A revision of Attalea (Arecaceae, Arecoideae, Cocoseae, Attaleinae). Phytotaxa, 444(1), 1-76."
26,"Glassman","PreservedSpecimen","Henderson, A. (2020a). A revision of Attalea (Arecaceae, Arecoideae, Cocoseae, Attaleinae). Phytotaxa, 444(1), 1-76."
27,"Lobo","PreservedSpecimen","Henderson, A. (2020a). A revision of Attalea (Arecaceae, Arecoideae, Cocoseae, Attaleinae). Phytotaxa, 444(1), 1-76."
28,"Pardini","PreservedSpecimen","Henderson, A. (2020a). A revision of Attalea (Arecaceae, Arecoideae, Cocoseae, Attaleinae). Phytotaxa, 444(1), 1-76."
29,"Almeida","PreservedSpecimen","Henderson, A. (2020a). A revision of Attalea (Arecaceae, Arecoideae, Cocoseae, Attaleinae). Phytotaxa, 444(1), 1-76."
