taxonID,verbatimScientificName,scientificNameGBIF,scientificNameTPL,scientificNameWCVP,verbatimInfraspecificEpithet,kingdom,phylum,class,order,family,genus,originalNameUsage,morphotype,verbatimTaxonRank,GBIFID,TPLID,WCVPID
1,Attalea allenii,Attalea allenii,Attalea allenii,Attalea allenii,"",Plantae,Tracheophyta,Liliopsida,Arecales,Arecaceae,Attalea,A. allenii,,,http://www.gbif.org/species/2732754,http://www.theplantlist.org/tpl1.1/record/kew-17762,http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:26553-2
2,Attalea amygdalina,Attalea amygdalina,Attalea amygdalina,Attalea amygdalina,"",Plantae,Tracheophyta,Liliopsida,Arecales,Arecaceae,Attalea,A. amygdalina,,,http://www.gbif.org/species/2732713,http://www.theplantlist.org/tpl1.1/record/kew-17763,http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:664411-1
3,Attalea barreirensis,Attalea barreirensis,Attalea barreirensis,Attalea barreirensis,"",Plantae,Tracheophyta,Liliopsida,Arecales,Arecaceae,Attalea,A. barreirensis,,,http://www.gbif.org/species/2732742,http://www.theplantlist.org/tpl1.1/record/kew-17766,http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:1014709-1
4,Attalea barreirensis,Attalea barreirensis,Attalea barreirensis,Attalea barreirensis,"",Plantae,Tracheophyta,Liliopsida,Arecales,Arecaceae,Attalea,"",,,http://www.gbif.org/species/2732742,http://www.theplantlist.org/tpl1.1/record/kew-17766,http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:1014709-1
5,Attalea butyracea,Attalea butyracea,Attalea butyracea,Attalea butyracea,"",Plantae,Tracheophyta,Liliopsida,Arecales,Arecaceae,Attalea,S. rostrata,,,http://www.gbif.org/species/2732721,http://www.theplantlist.org/tpl1.1/record/kew-17772,http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:1172851-2
6,Attalea butyracea,Attalea butyracea,Attalea butyracea,Attalea butyracea,"",Plantae,Tracheophyta,Liliopsida,Arecales,Arecaceae,Attalea,S. butyracea,,,http://www.gbif.org/species/2732721,http://www.theplantlist.org/tpl1.1/record/kew-17772,http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:1172851-2
7,Attalea butyracea,Attalea butyracea,Attalea butyracea,Attalea butyracea,"",Plantae,Tracheophyta,Liliopsida,Arecales,Arecaceae,Attalea,S. bassleriana,,,http://www.gbif.org/species/2732721,http://www.theplantlist.org/tpl1.1/record/kew-17772,http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:1172851-2
8,Attalea butyracea,Attalea butyracea,Attalea butyracea,Attalea butyracea,"",Plantae,Tracheophyta,Liliopsida,Arecales,Arecaceae,Attalea,S. macrocarpa,,,http://www.gbif.org/species/2732721,http://www.theplantlist.org/tpl1.1/record/kew-17772,http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:1172851-2
9,Attalea butyracea,Attalea butyracea,Attalea butyracea,Attalea butyracea,"",Plantae,Tracheophyta,Liliopsida,Arecales,Arecaceae,Attalea,S. tessmanni,,,http://www.gbif.org/species/2732721,http://www.theplantlist.org/tpl1.1/record/kew-17772,http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:1172851-2
10,Attalea butyracea,Attalea butyracea,Attalea butyracea,Attalea butyracea,S. macrolepi,Plantae,Tracheophyta,Liliopsida,Arecales,Arecaceae,Attalea,S. macrolepis,,,http://www.gbif.org/species/2732721,http://www.theplantlist.org/tpl1.1/record/kew-17772,http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:1172851-2
11,Attalea butyracea,Attalea butyracea,Attalea butyracea,Attalea butyracea,"",Plantae,Tracheophyta,Liliopsida,Arecales,Arecaceae,Attalea,S. osmantha,,,http://www.gbif.org/species/2732721,http://www.theplantlist.org/tpl1.1/record/kew-17772,http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:1172851-2
12,Attalea butyracea,Attalea butyracea,Attalea butyracea,Attalea butyracea,"",Plantae,Tracheophyta,Liliopsida,Arecales,Arecaceae,Attalea,S. maracaibensis,,,http://www.gbif.org/species/2732721,http://www.theplantlist.org/tpl1.1/record/kew-17772,http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:1172851-2
13,Attalea butyracea,Attalea butyracea,Attalea butyracea,Attalea butyracea,"",Plantae,Tracheophyta,Liliopsida,Arecales,Arecaceae,Attalea,S. salazarii,,,http://www.gbif.org/species/2732721,http://www.theplantlist.org/tpl1.1/record/kew-17772,http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:1172851-2
14,Attalea butyracea,Attalea butyracea,Attalea butyracea,Attalea butyracea,"",Plantae,Tracheophyta,Liliopsida,Arecales,Arecaceae,Attalea,S. magdalenica,,,http://www.gbif.org/species/2732721,http://www.theplantlist.org/tpl1.1/record/kew-17772,http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:1172851-2
15,Attalea butyracea,Attalea butyracea,Attalea butyracea,Attalea butyracea,"",Plantae,Tracheophyta,Liliopsida,Arecales,Arecaceae,Attalea,S. wesselsboerii,,,http://www.gbif.org/species/2732721,http://www.theplantlist.org/tpl1.1/record/kew-17772,http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:1172851-2
16,Attalea butyracea,Attalea butyracea,Attalea butyracea,Attalea butyracea,"",Plantae,Tracheophyta,Liliopsida,Arecales,Arecaceae,Attalea,S. liebmannii,,,http://www.gbif.org/species/2732721,http://www.theplantlist.org/tpl1.1/record/kew-17772,http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:1172851-2
17,Attalea butyracea,Attalea butyracea,Attalea butyracea,Attalea butyracea,"",Plantae,Tracheophyta,Liliopsida,Arecales,Arecaceae,Attalea,S. lundellii,,,http://www.gbif.org/species/2732721,http://www.theplantlist.org/tpl1.1/record/kew-17772,http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:1172851-2
18,Attalea cephalotus,Attalea cephalotus,Attalea cephalotus,Attalea cephalotus,"",Plantae,Tracheophyta,Liliopsida,Arecales,Arecaceae,Attalea,S. moorei,,,http://www.gbif.org/species/2732839,http://www.theplantlist.org/tpl1.1/record/kew-17775,http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:664421-1
19,Attalea cephalotus,Attalea cephalotus,Attalea cephalotus,Attalea cephalotus,"",Plantae,Tracheophyta,Liliopsida,Arecales,Arecaceae,Attalea,S. cephalotes,,,http://www.gbif.org/species/2732839,http://www.theplantlist.org/tpl1.1/record/kew-17775,http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:664421-1
20,Attalea cohune,Attalea cohune,Attalea cohune,Attalea cohune,"",Plantae,Tracheophyta,Liliopsida,Arecales,Arecaceae,Attalea,O. cohune,,,http://www.gbif.org/species/2732676,http://www.theplantlist.org/tpl1.1/record/kew-17777,http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:26558-2
21,Attalea cohune,Attalea cohune,Attalea cohune,Attalea cohune,"",Plantae,Tracheophyta,Liliopsida,Arecales,Arecaceae,Attalea,O. guacuyule,,,http://www.gbif.org/species/2732676,http://www.theplantlist.org/tpl1.1/record/kew-17777,http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:26558-2
22,Attalea colenda,Attalea colenda,Attalea colenda,Attalea colenda,"",Plantae,Tracheophyta,Liliopsida,Arecales,Arecaceae,Attalea,Y. colenda,,,http://www.gbif.org/species/2732716,http://www.theplantlist.org/tpl1.1/record/kew-17778,http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:272952-2
23,Attalea compta,Attalea compta,Attalea compta,Attalea compta,"",Plantae,Tracheophyta,Liliopsida,Arecales,Arecaceae,Attalea,A. brasiliensis,,,http://www.gbif.org/species/2732743,http://www.theplantlist.org/tpl1.1/record/kew-17779,http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:319683-2
24,Attalea compta,Attalea compta,Attalea compta,Attalea compta,"",Plantae,Tracheophyta,Liliopsida,Arecales,Arecaceae,Attalea,A. compta,,,http://www.gbif.org/species/2732743,http://www.theplantlist.org/tpl1.1/record/kew-17779,http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:319683-2
25,Attalea compta,Attalea compta,Attalea compta,Attalea compta,"",Plantae,Tracheophyta,Liliopsida,Arecales,Arecaceae,Attalea,A. apoda,,,http://www.gbif.org/species/2732743,http://www.theplantlist.org/tpl1.1/record/kew-17779,http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:319683-2
26,Attalea compta,Attalea compta,Attalea compta,Attalea compta,"",Plantae,Tracheophyta,Liliopsida,Arecales,Arecaceae,Attalea,A. camposportoana,,,http://www.gbif.org/species/2732743,http://www.theplantlist.org/tpl1.1/record/kew-17779,http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:319683-2
27,Attalea compta,Attalea compta,Attalea compta,Attalea compta,"",Plantae,Tracheophyta,Liliopsida,Arecales,Arecaceae,Attalea,A. geraensis,,,http://www.gbif.org/species/2732743,http://www.theplantlist.org/tpl1.1/record/kew-17779,http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:319683-2
28,Attalea crassispatha,Attalea crassispatha,Attalea crassispatha,Attalea crassispatha,"",Plantae,Tracheophyta,Liliopsida,Arecales,Arecaceae,Attalea,O. crassispatha,,,http://www.gbif.org/species/2732841,http://www.theplantlist.org/tpl1.1/record/kew-17784,http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:664428-1
29,Attalea cuatrecasana,Attalea cuatrecasana,Attalea cuatrecasana,,"",Plantae,Tracheophyta,Liliopsida,Arecales,Arecaceae,Attalea,O. cuatrecasana,,,http://www.gbif.org/species/2732679,http://www.theplantlist.org/tpl1.1/record/kew-17786,
30,Attalea dubia,Attalea dubia,Attalea dubia,Attalea dubia,"",Plantae,Tracheophyta,Liliopsida,Arecales,Arecaceae,Attalea,A. dubia,,,http://www.gbif.org/species/2732744,http://www.theplantlist.org/tpl1.1/record/kew-17788,http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:26562-2
31,Attalea dubia,Attalea dubia,Attalea dubia,Attalea dubia,,Plantae,Tracheophyta,Liliopsida,Arecales,Arecaceae,Attalea,,,,http://www.gbif.org/species/2732744,http://www.theplantlist.org/tpl1.1/record/kew-17788,http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:26562-2
32,Attalea eichleri,Attalea eichleri,Attalea eichleri,Attalea eichleri,"",Plantae,Tracheophyta,Liliopsida,Arecales,Arecaceae,Attalea,O. eichleri,,,http://www.gbif.org/species/2732775,http://www.theplantlist.org/tpl1.1/record/kew-17789,http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:981488-1
33,Attalea eichleri,Attalea eichleri,Attalea eichleri,Attalea eichleri,"",Plantae,Tracheophyta,Liliopsida,Arecales,Arecaceae,Attalea,O. eichleri,,,http://www.gbif.org/species/2732775,http://www.theplantlist.org/tpl1.1/record/kew-17789,http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:981488-1
34,Attalea exigua,Attalea exigua,Attalea exigua,Attalea exigua,"",Plantae,Tracheophyta,Liliopsida,Arecales,Arecaceae,Attalea,A. geraensis,,,http://www.gbif.org/species/2732792,http://www.theplantlist.org/tpl1.1/record/kew-17791,http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:319674-2
35,Attalea exigua,Attalea exigua,Attalea exigua,Attalea exigua,"",Plantae,Tracheophyta,Liliopsida,Arecales,Arecaceae,Attalea,A. exigua,,,http://www.gbif.org/species/2732792,http://www.theplantlist.org/tpl1.1/record/kew-17791,http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:319674-2
36,Attalea exigua,Attalea exigua,Attalea exigua,Attalea exigua,"",Plantae,Tracheophyta,Liliopsida,Arecales,Arecaceae,Attalea,A. apoda,,,http://www.gbif.org/species/2732792,http://www.theplantlist.org/tpl1.1/record/kew-17791,http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:319674-2
37,Attalea funifera,Attalea funifera,Attalea funifera,Attalea funifera,"",Plantae,Tracheophyta,Liliopsida,Arecales,Arecaceae,Attalea,A. funifera,,,http://www.gbif.org/species/2732833,http://www.theplantlist.org/tpl1.1/record/kew-17793,http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:664434-1
38,Attalea guianensis,Attalea guianensis,Attalea guianensis,Attalea guianensis,"",Plantae,Tracheophyta,Liliopsida,Arecales,Arecaceae,Attalea,S. maripensis,,,http://www.gbif.org/species/2732893,http://www.theplantlist.org/tpl1.1/record/kew-221066,http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:20008134-1
39,Attalea guianensis,Attalea guianensis,Attalea guianensis,Attalea guianensis,"",Plantae,Tracheophyta,Liliopsida,Arecales,Arecaceae,Attalea,S. guianensis,,,http://www.gbif.org/species/2732893,http://www.theplantlist.org/tpl1.1/record/kew-221066,http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:20008134-1
40,Attalea humilis,Attalea humilis,Attalea humilis,Attalea humilis,"",Plantae,Tracheophyta,Liliopsida,Arecales,Arecaceae,Attalea,A. humilis,,,http://www.gbif.org/species/2732770,http://www.theplantlist.org/tpl1.1/record/kew-17801,http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:319678-2
41,Attalea hybrid,,,,A. x piassabossu,,,,,,Attalea,A. x piassabossu,,,,,
42,Attalea hybrid,,,,xMaximbignya,,,,,,Attalea,xMaximbignya,,,,,
43,Attalea hybrid,,,,xmaripa,,,,,,Attalea,"",,,,,
44,Attalea hybrid,,,,xmaripa,,,,,,Attalea,S. guianensis,,,,,
45,Attalea hybrid,,,,xmaripa,,,,,,Attalea,xmaripa,,,,,
46,Attalea hybrid,,,,xteixeriana,,,,,,Attalea,O. teixeriana,,,,,
47,Attalea hybrid,,,,A. cryptanthera,,,,,,Attalea,A. cryptanthera,,,,,
48,Attalea hybrid,,,,?,,,,,,Attalea,?,,,,,
49,Attalea hybrid,,,,xburretiana,,,,,,Attalea,A. salvadorensis,,,,,
50,Attalea iguadummat,Attalea iguadummat,Attalea iguadummat,Attalea iguadummat,"",Plantae,Tracheophyta,Liliopsida,Arecales,Arecaceae,Attalea,A. iguadummat,,,http://www.gbif.org/species/2732804,http://www.theplantlist.org/tpl1.1/record/kew-17802,http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:272953-2
51,Attalea insignis,Attalea insignis,Attalea insignis,Attalea insignis,"",Plantae,Tracheophyta,Liliopsida,Arecales,Arecaceae,Attalea,S. insignis,,,http://www.gbif.org/species/2732824,http://www.theplantlist.org/tpl1.1/record/kew-17803,http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:26571-2
52,Attalea luetzelburgii,Attalea luetzelburgii,Attalea luetzelburgii,Attalea luetzelburgii,"",Plantae,Tracheophyta,Liliopsida,Arecales,Arecaceae,Attalea,O. luetzelburgii,,,http://www.gbif.org/species/2732782,http://www.theplantlist.org/tpl1.1/record/kew-17806,http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:961936-1
53,Attalea maripa,Attalea maripa,Attalea maripa,Attalea maripa,"",Plantae,Tracheophyta,Liliopsida,Arecales,Arecaceae,Attalea,M. maripa,,,http://www.gbif.org/species/2732686,http://www.theplantlist.org/tpl1.1/record/kew-17815,http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:664452-1
54,Attalea nucifera,Attalea nucifera,Attalea nucifera,Attalea nucifera,"",Plantae,Tracheophyta,Liliopsida,Arecales,Arecaceae,Attalea,A. nucifera,,,http://www.gbif.org/species/2732819,http://www.theplantlist.org/tpl1.1/record/kew-17818,http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:319677-2
55,Attalea oleifera,Attalea oleifera,Attalea oleifera,Attalea oleifera,"",Plantae,Tracheophyta,Liliopsida,Arecales,Arecaceae,Attalea,A. burretiana,,,http://www.gbif.org/species/2732669,http://www.theplantlist.org/tpl1.1/record/kew-17819,http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:319682-2
56,Attalea oleifera,Attalea oleifera,Attalea oleifera,Attalea oleifera,"",Plantae,Tracheophyta,Liliopsida,Arecales,Arecaceae,Attalea,A. concentrista,,,http://www.gbif.org/species/2732669,http://www.theplantlist.org/tpl1.1/record/kew-17819,http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:319682-2
57,Attalea oleifera,Attalea oleifera,Attalea oleifera,Attalea oleifera,"",Plantae,Tracheophyta,Liliopsida,Arecales,Arecaceae,Attalea,A. oleifera,,,http://www.gbif.org/species/2732669,http://www.theplantlist.org/tpl1.1/record/kew-17819,http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:319682-2
58,Attalea phalerata,Attalea phalerata,Attalea phalerata,Attalea phalerata,"",Plantae,Tracheophyta,Liliopsida,Arecales,Arecaceae,Attalea,S. princeps,,,http://www.gbif.org/species/2732758,http://www.theplantlist.org/tpl1.1/record/kew-17822,http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:26580-2
59,Attalea phalerata,Attalea phalerata,Attalea phalerata,Attalea phalerata,"",Plantae,Tracheophyta,Liliopsida,Arecales,Arecaceae,Attalea,S. weberbauerii,,,http://www.gbif.org/species/2732758,http://www.theplantlist.org/tpl1.1/record/kew-17822,http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:26580-2
60,Attalea phalerata,Attalea phalerata,Attalea phalerata,Attalea phalerata,"",Plantae,Tracheophyta,Liliopsida,Arecales,Arecaceae,Attalea,S. phalerata,,,http://www.gbif.org/species/2732758,http://www.theplantlist.org/tpl1.1/record/kew-17822,http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:26580-2
61,Attalea pindobassu,Attalea pindobassu,Attalea pindobassu,Attalea pindobassu,"",Plantae,Tracheophyta,Liliopsida,Arecales,Arecaceae,Attalea,A. seabrensis,,,http://www.gbif.org/species/2732876,http://www.theplantlist.org/tpl1.1/record/kew-17824,http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:26582-2
62,Attalea pindobassu,Attalea pindobassu,Attalea pindobassu,Attalea pindobassu,sea irreg pinnae,Plantae,Tracheophyta,Liliopsida,Arecales,Arecaceae,Attalea,A. seabrensis,,,http://www.gbif.org/species/2732876,http://www.theplantlist.org/tpl1.1/record/kew-17824,http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:26582-2
63,Attalea pindobassu,Attalea pindobassu,Attalea pindobassu,Attalea pindobassu,"",Plantae,Tracheophyta,Liliopsida,Arecales,Arecaceae,Attalea,A. pindobassu,,,http://www.gbif.org/species/2732876,http://www.theplantlist.org/tpl1.1/record/kew-17824,http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:26582-2
64,Attalea pindobassu,Attalea pindobassu,Attalea pindobassu,Attalea pindobassu,check petiole,Plantae,Tracheophyta,Liliopsida,Arecales,Arecaceae,Attalea,A. pindobassu,,,http://www.gbif.org/species/2732876,http://www.theplantlist.org/tpl1.1/record/kew-17824,http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:26582-2
