Number,Genus,Species,Subspecies,Collector,Collnumber,Herbarium,Country,Latitude,Dlatitude,Longitude,Dlongitude,Elevation,Stemhe,Stemdi,Shpele,Rachle,Rachwi,Nodivi,Asymme,Bapiwi,Bapimi,Differ,Basang,Apiang,Appile,Pedlen,Prople,Pedble,Peduwi,Distan,Norlla,Rllale,Rllawi,Pitwid,Pitlen,Dispit,Stapit,Fruidi,Fruile,Leafno,Stemfo,Pitcoll,Petiol,Pedtom,Filifo,Inflor,Pbscar,Prophy,Pbract,Pbsurf,Pbfold,Rachil,Rlltom,Upplip,Stasep,Flapdist,Flap,Inflobud,Flowerbud,Openfls,Immfrs,Matfrs,Oldinflo,Racpro,Lobes,Proxpin,Leaf,Fruitcolor,Lgstemhe,Lgstemdi,Lgshpele,Lgrachle,Lgrachwi,Squnodivi,Lgasymme,Lgbasang,Lgapiang,Lgappile,Lgpedlen,Lgprople,Lgpedble,Lgpeduwi,Lgdistan,Squnorlla,Lgrllale,Lgrllawi,Lgdispit,Lgfruidi,Lgfruile,Lgflapdist,Rachillacolo
248,Calyptrogyne,allenii,allenii,Correa,8914,pma,panama,8.4,8.67,79.55,-79.92,850,,,,20,3.9,3,0.7,1.8,4.1,2.3,54,20,12.5,,,,2.8,0.9,1,11.2,3.3,2.3,2.2,3,2,,,,0,1,1,1,0,1,1,,0,,,0,0,0,,3.1,1,,,,,may,,0,0,0,1,,,,,1.301029996,0.591064607,1.732050808,-0.15490196,1.73239376,1.301029996,1.096910013,,,,0.447158031,-0.045757491,1,1.049218023,0.51851394,0.477121255,,,0.491361694,
190,Calyptrogyne,allenii,allenii,Mori,3555,cas,panama,8.42,8.7,79.58,-79.97,800,,2,,15.8,3,3,0.5,1.4,3,1.6,51,27,9.6,,,13.4,2,,1,,,,,,,,,,0,1,1,1,0,1,1,,0,1,0,0,,,,3,1,dec,,,,,,0,0,0,1,,,0.301029996,,1.198657087,0.477121255,1.732050808,-0.301029996,1.707570176,1.431363764,0.982271233,,,1.127104798,0.301029996,,1,,,,,,0.477121255,
150,Calyptrogyne,allenii,allenii,Allen,1821,gh,panama,8.34,8.57,80.07,-80.12,600,,,41.5,32,4.4,4,1.2,1.5,4.8,3.3,63,17,,,,,3.8,1.5,1,10.7,5.1,2.8,2,2,2,,,,0,1,1,1,,1,1,1,0,,,0,0,0,,5.3,1,,,,may,,,0,0,0,1,,,,1.618048097,1.505149978,0.643452676,2,0.079181246,1.799340549,1.230448921,,,,,0.579783597,0.176091259,1,1.029383778,0.707570176,0.301029996,,,0.72427587,
177,Calyptrogyne,allenii,allenii,Miller,806,cas,panama,8.37,8.62,80.07,-80.12,1167,,,,21.6,3.2,3,0,1.4,2.6,1.2,46,22,13,,,,1.5,1,1,10.6,3.2,2,1.8,4,2,6.7,13.7,,0,1,1,1,0,1,1,,0,,,0,0,0,,,,,,,,jul,,,0,0,1,,,,,1.334453751,0.505149978,1.732050808,,1.662757832,1.342422681,1.113943352,,,,0.176091259,0,1,1.025305865,0.505149978,0.602059991,0.826074803,1.136720567,,0
297,Calyptrogyne,allenii,allenii,Lewis,1728,bh,panama,8.35,8.58,80.07,-80.12,800,,,,20,3.5,3,0,2.7,3.5,0.8,55,,,,,,2,1.1,1,13.7,3.5,2.3,1.8,4,,,,,,1,1,1,0,1,1,,0,,,0,0,0,,4,1,,,,may,,,0,0,0,1,,,,,1.301029996,0.544068044,1.732050808,,1.740362689,,,,,,0.301029996,0.041392685,1,1.136720567,0.544068044,0.602059991,,,0.602059991,0
295,Calyptrogyne,allenii,allenii,Folsom,6930,bh,panama,8.35,8.58,80.07,-80.12,700,,,,24.5,3.5,3,0,1.2,3.7,2.5,43,23,13,,,22.4,2.2,,,,,,,,,,,,0,1,1,1,0,1,1,,0,1,0,0,0,0,,3.3,1,dec,,,,dec,,0,0,0,1,black,,,,1.389166084,0.544068044,1.732050808,,1.633468456,1.361727836,1.113943352,,,1.350248018,0.342422681,,,,,,,,0.51851394,
189,Calyptrogyne,allenii,allenii,Sytsma,4318,cas,panama,8.37,8.62,80.07,-80.12,925,,,,19.1,3.8,3,1.5,0.7,2.1,1.4,66,18,10.5,,,,1.9,1.8,1,10.6,2.7,2.2,2.4,3.2,,,,,0,1,1,1,0,1,1,,0,,,0,0,0,,1.2,1,,,,may,,,0,0,0,1,black,,,,1.281033367,0.579783597,1.732050808,0.176091259,1.819543936,1.255272505,1.021189299,,,,0.278753601,0.255272505,1,1.025305865,0.431363764,0.505149978,,,0.079181246,0
175,Calyptrogyne,allenii,allenii,Miller,971,cas,panama,8.42,8.7,79.56,-79.93,850,,,,19.8,3.3,3,0,1.2,2.7,1.5,59,30,11,,,,1.9,1.5,1,8.9,2.6,2.5,2.6,5,2,7.2,13,,0,1,1,1,0,1,1,,0,,,0,0,0,,2.5,1,,,,,aug,,0,0,0,1,,,,,1.29666519,0.51851394,1.732050808,,1.770852012,1.477121255,1.041392685,,,,0.278753601,0.176091259,1,0.949390007,0.414973348,0.698970004,0.857332496,1.113943352,0.397940009,0
166,Calyptrogyne,allenii,allenii,Hamilton,4055,mexu,panama,8.4,8.66,79.55,-79.92,900,1,,,14.7,2.5,3,0.4,1.1,2.2,1.1,50,27,12.3,,,,2,0.5,1,11.6,3,2.3,2.5,3,2,6.3,11,,0,1,1,1,1,1,1,,,,,0,0,0,,1.8,1,,,,,jul,,0,0,0,1,,0,,,1.167317335,0.397940009,1.732050808,-0.397940009,1.698970004,1.431363764,1.089905111,,,,0.301029996,-0.301029996,1,1.064457989,0.477121255,0.477121255,0.799340549,1.041392685,0.255272505,0
263,Calyptrogyne,allenii,allenii,Mori,7700,bh,panama,8.41,8.68,79.55,-79.92,,,,,12.8,2.4,3,0.3,0.7,2.3,1.6,56,21,11.5,,,,1.7,1.1,1,8,3.5,1.8,1.4,2.8,2,7.2,12.5,,0,1,1,1,0,1,1,,0,,,0,0,0,,2.2,1,,,,,aug,,0,0,0,1,,,,,1.10720997,0.380211242,1.732050808,-0.522878745,1.748188027,1.322219295,1.06069784,,,,0.230448921,0.041392685,1,0.903089987,0.544068044,0.447158031,0.857332496,1.096910013,0.342422681,0
293,Calyptrogyne,allenii,allenii,Allen,2947,bh,panama,8.37,8.62,80.08,-80.13,,,,39.5,25.5,3.9,3,1.4,1.7,3.2,1.5,47,25,9.5,67,12,,1.5,1,1,12.7,3.2,1.7,1.7,4.8,2,5.5,11.2,,0,1,1,1,1,1,1,0,0,,,0,0,0,,3,1,,,,may,may,,0,0,0,1,,,,1.596597096,1.40654018,0.591064607,1.732050808,0.146128036,1.672097858,1.397940009,0.977723605,1.826074803,1.079181246,,0.176091259,0,1,1.103803721,0.505149978,0.681241237,0.740362689,1.049218023,0.477121255,
291,Calyptrogyne,allenii,allenii,Mori,2461,bh,panama,8.43,8.72,79.57,-79.95,,0.5,,,21.5,2.7,3,0.5,1.6,3,1.4,48,27,10.8,,,,1.3,1.2,1,12.3,3.4,2,2,3.9,0,7.1,13.2,,0,1,1,1,0,1,1,,0,,,0,0,0,,5.2,1,,,,oct,oct,,0,0,0,1,,-0.301029996,,,1.33243846,0.431363764,1.732050808,-0.301029996,1.681241237,1.431363764,1.033423755,,,,0.113943352,0.079181246,1,1.089905111,0.531478917,0.591064607,0.851258349,1.120573931,0.716003344,0
283,Calyptrogyne,allenii,allenii,Mori,6567,bh,panama,8.35,8.58,80.07,-80.12,920,,,,16,2.4,3,0.1,0.8,2.6,1.8,48,16,8.5,,,,1.7,0.5,1,8.6,2.8,2.4,1.5,2.4,0,,,27,0,1,1,1,0,1,1,,0,,,0,0,0,,1.8,1,,,jun,jun,,,0,0,0,1,,,,,1.204119983,0.380211242,1.732050808,-1,1.681241237,1.204119983,0.929418926,,,,0.230448921,-0.301029996,1,0.934498451,0.447158031,0.380211242,,,0.255272505,
206,Calyptrogyne,allenii,allenii,Croat,67206,cas,panama,8.38,8.63,80.09,-80.15,850,,,26.8,20.3,3.9,5,0.1,,,,71,20,11,69,16.5,,2.6,1.2,1,8,3.1,2,2.1,3.8,2,7.7,13.7,,0,1,1,1,0,1,1,,0,,,0,0,0,,6,1,,,,,jul,,0,0,0,1,,,,1.428134794,1.307496038,0.591064607,2.236067977,-1,1.851258349,1.301029996,1.041392685,1.838849091,1.217483944,,0.414973348,0.079181246,1,0.903089987,0.491361694,0.579783597,0.886490725,1.136720567,0.77815125,0
207,Calyptrogyne,allenii,allenii,Croat,22937,mexu,panama,8.36,8.6,80.07,-80.12,1035,,,,12.1,2.2,3,0.3,1.1,2,0.9,50,31,7.4,,,,1.9,0.9,1,8.3,3.5,1.8,2.1,2,2,8.7,13.1,,0,1,1,1,0,1,1,,0,,,0,0,0,,1.3,1,,,,,mar,,0,0,0,1,black,,,,1.08278537,0.342422681,1.732050808,-0.522878745,1.698970004,1.491361694,0.86923172,,,,0.278753601,-0.045757491,1,0.919078092,0.544068044,0.301029996,0.939519253,1.117271296,0.113943352,0
6,Calyptrogyne,allenii,allenii,de Nevers,6328,ny,panama,8.37,8.62,80.06,-80.1,900,0.75,,39,26.5,4.2,5,0,0.5,2.4,1.9,60,21,12.5,68.5,17.2,16.7,2.7,,1,,,,,,,,,20,0,1,1,1,0,1,1,0,0,1,0,0,,,,8,1,nov,,,,nov,,0,0,0,1,,-0.124938737,,1.591064607,1.423245874,0.62324929,2.236067977,,1.77815125,1.322219295,1.096910013,1.835690571,1.235528447,1.222716471,0.431363764,,1,,,,,,0.903089987,
176,Calyptrogyne,allenii,allenii,Sytsma,1174,cas,panama,8.42,8.7,79.55,-79.92,950,,,,17.9,3.6,4,0.3,1.9,3.4,1.5,55,20,,,,,2.4,0.9,1,10.5,3.2,2,1.8,3.5,2,7.6,13.2,,0,1,1,1,0,1,1,,0,,,0,0,0,,5.2,1,,,,,sep,,0,0,0,1,black,,,,1.252853031,0.556302501,2,-0.522878745,1.740362689,1.301029996,,,,,0.380211242,-0.045757491,1,1.021189299,0.505149978,0.544068044,0.880813592,1.120573931,0.716003344,0
13,Calyptrogyne,allenii,allenii,Darwin,2765,ny,panama,8.38,8.63,80.07,-80.12,925,1.6,,,27.5,4.2,4,,2,4.3,2.3,70,25,11.1,,,,2.8,0.9,1,13.5,3.8,1.5,1.5,3.4,1,,,,0,1,1,1,0,1,1,,0,,,0,0,0,,4.3,1,,,,mar,,,0,0,0,1,,0.204119983,,,1.439332694,0.62324929,2,,1.84509804,1.397940009,1.045322979,,,,0.447158031,-0.045757491,1,1.130333768,0.579783597,0.531478917,,,0.633468456,
