Species,Genus,Subspecies,Preliminary,Group,Status,Herbarium,Collector,Colnumber,Country,Area,Latitude,Dlatitude,Longitude,Dlongitude,Elevation,Stemlength,Stemdiameter,Petiole,Rachislen,Numpin,Pinlength,Pinwidth,Apjoin,Stinflolen,Straclen,Pisinflolen,Psraclen,Fruitlen,Fruitdiam,Solclu,Climbs,Sheath,Mottle,Dactyl,Elasti,Latifo,Hetera,Unifar,Dasyac,Discol,Phispi,Bulbou,Swelli,Gracil,Needle,Pholid,Petmar,Upward,Pachys,Hairli,Scabrid,Exilis,Intersp,Horseh,Ingens,Siphon,Minute,Moti,Spiral,Detach,Spicul,Nospin,Latmar,Spines,Corrug,Ocrflo,Ocrpog,Ocrlep,Ocrlae,Ocrdiv,Ocrcil,Ocrwal,Ocrpoi,Ocrpal,Ocrlon,Ocrtru,Ocrset,Ocrerin,Ocrsip,Ocrcon,Ocrgur,Ocrper,Ocrrho,Ocrjav,Ocrpse,Ocrpip,Ocrurs,Ocrrha,Flagel,Rachis,Rachil,Wooly,Racir,Pinnae,Pinsha,Divari,Insign,Hairy,Specta,Grayis,Erinac,Reddis,Tufted,Phvein,Sweptb,Proxim,Distal,Pinfew,Semelp,Rootin,Infpos,Infdae,Inflag,Infall,Infper,Inferi,Infpal,Infaru,Pedunc,Prophy,Murpro,Pedice,Piviti,Piinop,Pilobb,Pidisp,Pidimo,Pirecu,Picand,Rbcalo,Rbcera,Rbtatt,Rbpalu,Rbconi,Rbviti,Rbtubu,Rbanom,Rbplat,Rberin,Rbpogo,Rbsiph,Rbdaem,Piptos,Papery,Fimbri,Racped,Polyst,Retisp,Raclon,Ciliar,Laevig,Murica,Staord,Rblack,Starrg,Stflel,Sepals,Sepfle,Exsert,Stamen,Filame,Pisord,Ppdiva,Ridley,Tetrad,Pirasp,Cellat,Dyaped,Bracte,Pistom,Neuter,Cupula,Frshap,Perian,Scales,Dragon,Glossy,Fringe,Seeded,Attach,Renifo,Seedsu,Sarcot,Raphe,Endosp,Embryo,Frucol
acamptostachys,Calamus,,D. acamptostachys,Piptospatha,sterile,K,P. Tomlinson,1,Malaysia,Borneo,1.31,1.51,110.18,110.30,,,,,,,41,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acamptostachys,Calamus,,D. acamptostachys,Piptospatha,staminate,K,J. Dransfield,4919,Malaysia,Borneo,1.37,1.61,110.2,110.33,5,,,80,,25,41,2.7,,100,2.6,,,,,0,0,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,7,0,1,1,2,1,2,2,1,1,2,1,1,1,1,1,0,2,1,1,1,3,1,1,3,1,1,1,2,1,1,1,1,1,1,,1,2,1,0,0,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,,0,1,1,1,1,1,1,0,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,1,1,1,1,0,2,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
acamptostachys,Calamus,,D. acamptostachys,Piptospatha,staminate,K,H. Moore,9096,Malaysia,Borneo,1.25,1.41,110.18,110.30,,,,,,35,32.5,2.1,,,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acamptostachys,Calamus,,D. acamptostachys,Piptospatha,sterile,K,W. Baker,703,Malaysia,Borneo,1.17,1.28,110.29,110.48,10,0.3,,,,27,45.5,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acamptostachys,Calamus,,D. acamptostachys,Piptospatha,pist/stam,K,H. Ridley,s.n.,Malaysia,Borneo,1.35,1.58,110.14,110.23,,,,,,,,2.8,,,1.5,,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acamptostachys,Calamus,,D. acamptostachys,Piptospatha,staminate,K,E. Brunig,S.17520,Malaysia,Borneo,1.31,1.51,110.18,110.30,20,,,,,,41,2,,,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acamptostachys,Calamus,,D. acamptostachys,Piptospatha,staminate,K,P. Tomlinson,5,Malaysia,Borneo,1.24,1.40,110.18,110.30,,,,,,,32,1.7,,,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acamptostachys,Calamus,,D. acamptostachys,Piptospatha,pistillate,BH,H. Moore,9139,Malaysia,Borneo,3.17,3.28,113.11,113.18,,,,53,142,25,50,3,,,,,5.4,20,15.5,0,0,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,7,0,1,1,2,1,2,2,1,1,2,1,1,1,1,1,0,2,1,1,1,3,1,1,3,1,1,1,2,1,1,1,1,1,1,,1,2,1,0,0,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,,0,1,1,1,1,1,1,0,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,1,1,1,1,0,,1,1,1,1,1,1,1,1,1,,,,,,,,,,1,1,1,0,1,1,2,0,1,1,0,0,1,1,1,1,2,0,1,1,0,2,1,1,0,
acamptostachys,Calamus,,D. acamptostachys,Piptospatha,pistillate,SING,A. Tiggi,S.3324,Malaysia,Borneo,2.57,2.95,113.35,113.58,,,,,,,46,3.5,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acamptostachys,Calamus,,D. acamptostachys,Piptospatha,pistillate,BH,H. Moore,9080,Malaysia,Borneo,1.36,1.60,110.11,110.18,,1,,,,,37,1.7,,,,,3.7,20.2,16.5,,0,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,7,0,1,1,2,1,2,2,1,1,2,1,1,1,1,1,0,2,1,1,1,3,1,1,3,1,1,1,2,1,1,1,1,1,1,,1,2,1,0,0,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,,0,1,1,1,1,1,1,0,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,1,1,1,1,0,2,1,1,1,1,1,1,1,1,1,,,,,,,,,,1,1,1,0,1,1,2,0,1,1,0,0,1,1,1,1,2,0,1,1,0,2,1,1,0,dull brown
