NUMBER,Genus,SPECIES$,SUBSPECIES$,MORPHOTYPE$,HERBARIUM$,COLLECTOR$,COLNUMBER,COUNTRY$,LATITUDE,DLATITUDE,LONGITUDE,DLONGITUDE,ELEVATION,PLHEIGHT,STEMDIAMETER,PETIOLE,RACHISLEN,RACHISWID,NODIVISIONS,BASPINLEN,BASPINWID,PEDBRACT,PEDUNCLEWID,RACHILLLEN,RACHILLWID,NORACHILLAE,STAMEN,FRUITLEN,FRUITDIAM,STEMS,RACHIS,CIRRUS,CIRRUSABAX,INTERS,FILIFORM,PINNABASE,SPINULES,INFLOS,PEDUNCBRACT,TOMENTUM,STAMENNO,FRUITSURF,FRCOROLLA,SPLITTING,ENDOCARPS
398,Desmoncus,chinantlensis,,,MO,Aguilar,703,Mexico,17.01,17.02,91.14,-91.24,12,,,,,,,,,,,,,,,,,,1,,,,2,2,1,,,,,,,,
9,Desmoncus,chinantlensis,,,NY,Balick,3275,Belize,15.52,15.86,88.55,-88.91,,,1.42,1.5,,9.1,,7.5,1,,,,,,,,,,1,1,2,1,2,2,1,,1,,,,,,
29,Desmoncus,chinantlensis,,,NY,Balick,1715,Honduras,15.5,15.83,85.5,-85.83,,10,,,,,,,,,,,,,,12.4,11.3,,1,,,,2,2,1,4,1,,,1,1,1,1
10,Desmoncus,chinantlensis,,,US,Balick,2201,Belize,18.14,18.23,88.25,-88.41,10,4,,,,,21,,,,,,,,,16.2,11.4,,1,,,,2,2,1,,,,,1,1,1,1
850,Desmoncus,chinantlensis,,,K,Balslev,8200,Mexico,18.17,18.28,89.01,-89.02,168,16,,3,,,35,,,69,,,,,,,,,1,1,2,1,2,2,1,,1,,,,,,
474,Desmoncus,chinantlensis,,,F,Bangham,368,Honduras,15.24,15.4,87.48,-87.8,,,,,,,,,,,7.8,,,,,18.6,14.3,,1,,,,2,2,1,,,,,1,1,1,1
504,Desmoncus,chinantlensis,,,MICH,Bartlett,12576,Guatemala,17.23,17.38,89.38,-89.63,,,2.96,2,,8.9,,24,2.2,28.5,5.4,10,1,42,,16.5,12.8,,1,1,2,1,2,2,1,4,1,,,1,1,1,1
505,Desmoncus,chinantlensis,,,MICH,Bartlett,12584,Guatemala,17.13,17.21,89.37,-89.61,,,,,,,,,,39.5,9.3,13.5,1,41,8,,,,1,1,2,1,2,2,1,4,1,2,2,,,,
6,Desmoncus,chinantlensis,,,NY,Contreras,976,Guatemala,17,17,89.42,-89.7,,,,,,,,,,,,,,,,13.8,10.8,,1,1,2,1,2,2,1,4,,,,1,1,1,1
7,Desmoncus,chinantlensis,,,NY,Contreras,868,Guatemala,17,17,89.42,-89.7,,,,3,,,,29,2,,5.3,14,0.9,,10,,,,1,,,,2,2,1,4,1,2,2,,,,
8,Desmoncus,chinantlensis,,,NY,Contreras,2581,Guatemala,16.59,16.98,90.38,-90.63,,,,2.5,,12.6,,25.5,1.5,,8.5,,,,,16.5,13.9,,1,1,2,1,2,2,1,4,1,,,1,1,1,1
5,Desmoncus,chinantlensis,,,US,Cook,53,Guatemala,15.27,15.46,89.47,-89.78,,,,4,,,,17.5,2,,7.8,16,1.1,,9,,,,1,1,2,1,2,2,1,4,1,2,2,,,,
11,Desmoncus,chinantlensis,,,US,Cook,11,Guatemala,15.24,15.4,89.4,-89.66,,,,,,,,,,,9.2,,,,,,,,1,1,2,1,2,2,1,4,1,,,,,,
324,Desmoncus,chinantlensis,,,US,Cook,97,Guatemala,15.27,15.46,89.47,-89.78,,,,1.5,96,5.7,19,,,,6.6,9,1.7,35,,,,,,1,2,1,2,2,1,4,,,,,,,
44,Desmoncus,chinantlensis,,,NY,Cowan,3378,Mexico,17.22,17.36,91.07,-91.11,,4.5,,,,,,,,,,,,,,15.4,11.8,,1,,,,2,2,1,4,1,,,1,1,1,1
400,Desmoncus,chinantlensis,,,MO,Croat,40249,Mexico,16.52,16.87,91.12,-91.2,360,,2.19,,,,,,,,6.3,,,,,16,13,,1,1,2,1,2,2,1,4,,,,1,1,1,1
402,Desmoncus,chinantlensis,,,MO,Croat,23338,Belize,16.4,16.67,89.01,-89.02,,,,,,,,,,,5.6,13,0.9,34,,,,,1,1,2,1,2,2,1,4,,,,,,,
404,Desmoncus,chinantlensis,,,MO,Croat,24746,Guatemala,17.02,17.03,89.41,-89.68,,,,,,,,,,,7.1,15,1.6,,,,,,1,1,2,1,2,2,1,4,,,,,,,
391,Desmoncus,chinantlensis,,,MO,Dwyer,10958,Belize,17.22,17.37,88.26,-88.44,,,,,,10.2,,,,,,,,,,14.4,11.7,,1,,,,2,2,1,,,,,1,1,1,1
403,Desmoncus,chinantlensis,,,MO,Dwyer,11352,Belize,17.09,17.15,88.41,-88.68,,3,,,,,,,,,5,13.8,1.2,38,,14.9,14,,1,,,,2,2,1,4,,,,1,1,1,1
390,Desmoncus,chinantlensis,,,MO,Evans,1702,Honduras,15.42,15.7,86.51,-86.85,160,,2.53,1.5,,7.3,,,,,,,,,,,,1,1,1,2,1,2,2,1,4,,,,,,,
503,Desmoncus,chinantlensis,,,MICH,Gentle,348,Belize,18.15,18.25,88.2,-88.33,,,2.82,2.5,,,,,,,5.3,12,1.1,,,12.8,10.4,,1,1,2,1,2,2,1,4,1,,,1,1,1,1
506,Desmoncus,chinantlensis,,,MICH,Gentle,2453,Belize,17.01,17.03,89.03,-89.06,,,2.86,,,,,,,28,,,,,9,,,,1,1,2,1,2,2,1,4,1,2,2,,,,
508,Desmoncus,chinantlensis,,,MICH,Gentle,528,Belize,18.15,18.25,88.2,-88.33,,,,,,,,,,,5.9,,,36,,12.6,12.2,,1,1,2,1,2,2,1,4,1,,,1,1,1,1
30,Desmoncus,chinantlensis,,,NY,Gentle,4750,Belize,18.23,18.38,88.24,-88.4,,,2.1,3,,10.7,,,,,,,,,9.5,,,,1,1,2,1,2,2,1,4,1,,2,,,,
407,Desmoncus,chinantlensis,,,MO,Gentry,8035,Belize,16.49,16.82,88.37,-88.62,,,,,,,,,,,,17,1.4,,,,,,1,1,2,1,2,2,1,4,,,,,,,
394,Desmoncus,chinantlensis,,,MO,Harmon,2543,Guatemala,16.51,16.86,89.51,-89.85,190,,,,,,,,,,5.9,,,,,14.7,15.2,,1,1,2,1,2,2,1,4,1,,,1,1,1,1
395,Desmoncus,chinantlensis,,,MO,Hernández,373,Mexico,16.55,16.91,94.4,-94.66,250,10,,,,15,,,,,,,,,,15,13.4,,1,,,,2,2,1,,,,,1,1,1,1
2,Desmoncus,chinantlensis,,,NY,Hernández,629,Mexico,18.06,18.1,95.53,-95.88,,,,,,,,,,40,,11.3,0.9,36,,,,,1,1,2,1,2,2,1,4,1,,,,,,
325,Desmoncus,chinantlensis,,,US,Liebmann,6596,Mexico,17.29,17.48,95.55,-95.91,,,,,,,,,,,7.1,,,,,,,,1,,,,2,2,1,4,,,,,,,
595,Desmoncus,chinantlensis,,,US,Liebmann,6956,Mexico,17.29,17.48,95.55,-95.91,,,,,,,,,,,7.4,,,,,,,,1,,,,2,2,1,,,,,,,,
502,Desmoncus,chinantlensis,,,MICH,Lundell,1555,Guatemala,,,,,,,2.76,0.5,,,,21,2,,7.3,10,0.9,28,,14.6,11.2,,1,1,2,1,2,2,1,4,1,2,,1,1,1,1
509,Desmoncus,chinantlensis,,,MICH,Lundell,3421,Guatemala,,,,,,,2.45,1.5,,,,,,,,,,,,12.1,11.2,,1,,,,2,2,1,4,1,,,1,1,1,1
511,Desmoncus,chinantlensis,,,MICH,Lundell,4750,Belize,18.23,18.38,88.24,-88.4,,,3.78,1.5,,,,,,29.5,,,,,9,,,,1,,,,2,2,1,4,1,2,2,,,,
