NUMBER,Genus,SPECIES,SUBSPECIES,MORPHOTYPE,HERBARIUM,COLLECTOR,COLNUMBER,COUNTRY,LATITUDE,DLATITUDE,LONGITUDE,DLONGITUDE,ELEVATION,PLHEIGHT,STEMHEIGHT,STEMDIAMETER,INTERNODE,LEAFNUMBER,SHEATH,PETIOLE,RACHISLEN,RACHISWID,NODIVISIONS,BASPINLEN,BASPINWID,BASPINANG,APINLEN,APINWID,APINANG,ORDERS,PROPHYLL,PEDBRACT,DISTANCE,PEDUNCLELEN,PEDUNCLEWID,NORACHILLAE,RACHILLLEN,RACHILLWID,FRUITLEN,FRUITDIAM,STEMBRANCH,INTERNOD,INTERCOLOR,LEAFDIVI,PLICATE,BLADEBASE,PETCOLOR,VEINADAX,VENATION,INFLOBRAN,BRACTS,PROPHYLLS,PROSURFACE,RIDGED,PEDUNCBRACT,RACHSURFACE,RACHRUGOS,RACHNARROW,PITARRANG,PITINSIDE,PROXLIP,PROXRECURV,HOOD,LIPCOLOR,LIPSCUPUL,DISTALIP,PETALS,STAMFLS,STAMENNO,CONNECT,ANTHERS,GYNO,PISTFLS,STAMTUBES,STAMTUBPER,STIPITATE,CONICAL,SPLITTING,SPINY,BUMPY,OPERC,SCULPT,PORES
29,Geonoma,aspidiifolia,aspidiifolia,,INPA,"Anderson, A.",274,Brazil,2.3,-2.5,60,-60,,2,,0.58,1.1,,,,16.6,1.6,3,8.2,0.8,55,9.4,9.5,43,1,3.5,,,3.9,3.4,4,4.6,2.9,,,,2,2,2,1,1,2,1,2,2,2,,,,,1,1,2,2,2,2,1,2,,1,2,2,2,,,,,,,2,,,,,,,,
9,Geonoma,aspidiifolia,aspidiifolia,,NY,"Costa, M.",740,Brazil,2.53,-2.88,59.58,-59.96,,,1.5,0.61,1.3,,,17.5,15,2.3,2,11,0.6,87,14,7,34,1,3.7,,,4,,4,7.5,2.9,,,,2,2,2,1,1,2,1,2,2,2,2,2,2,,1,1,2,2,2,2,1,2,1,1,2,2,2,2,2,1,2,2,3,2,,,,,,,,
14,Geonoma,aspidiifolia,aspidiifolia,,BH,"Fróes, R. ",24994,Brazil,3.02,-3.03,60.09,-60.15,,,,,,,,,18.8,2.2,3,12.5,1.2,,13.5,8.3,35,1,5.3,,,,,3,7,3.9,,,,,,2,1,1,2,1,2,2,2,2,2,2,,1,1,2,2,2,2,1,2,1,1,2,2,2,2,2,1,2,2,3,2,,,,,,,,
5,Geonoma,aspidiifolia,aspidiifolia,,NY,"Henderson, A.",187,Brazil,3.08,-3.13,60.01,-60.02,,,2,0.69,2.7,,,20.5,20,2.4,3,15,1.7,70,14.5,8.4,32,1,4.8,,,4.2,2.7,2,7.2,3.4,,,2,2,2,2,1,1,2,1,2,2,2,2,2,2,,1,1,2,2,2,2,1,2,1,1,2,2,2,2,2,1,,,3,2,,,,,,,,
4,Geonoma,aspidiifolia,aspidiifolia,,NY,"Henderson, A.",482,Brazil,2.5,-2.83,60.1,-60.16,,,1.5,0.8,3.5,,8.5,18.5,20.5,2.2,3,13.5,1.5,65,12.7,9.5,32,1,5.3,4.4,0.5,4,3.7,4,7.3,3.8,9.3,6.1,2,2,2,2,1,1,2,1,2,2,2,2,2,2,1,1,1,2,2,2,2,1,2,1,1,2,2,2,2,2,1,2,2,3,2,2,2,1,2,2,1,1,1
7,Geonoma,aspidiifolia,aspidiifolia,,NY,"Henderson, A.",639,Brazil,3.06,-3.11,60.01,-60.02,,,1,0.66,1.9,12,10.5,20,18.5,2.8,3,13.5,1,81,13.6,8.5,36,1,4.5,,,4.4,,4,5.5,2.6,,,2,2,2,2,1,1,2,1,2,2,2,2,2,2,,1,1,2,2,2,2,1,2,1,1,2,2,2,2,2,1,2,2,3,2,,,,,,,,
3,Geonoma,aspidiifolia,aspidiifolia,,NY,"Henderson, A.",645,Brazil,2.2,-2.33,60,-60,,,1.5,0.53,1.4,10,9,8,16.5,1.9,3,10.4,0.8,90,9,9.5,33,1,4.3,3.4,0.7,4,3.4,4,4.4,3,8.4,6.2,2,2,2,2,1,1,2,1,2,2,2,2,2,2,1,1,1,2,2,2,2,1,2,1,1,2,2,2,2,2,1,2,2,3,2,2,2,1,2,2,1,,
6,Geonoma,aspidiifolia,aspidiifolia,,NY,"Henderson, A.",655,Brazil,2.53,-2.88,59.58,-59.96,,,2,0.61,2.3,10,9,18.5,17.2,2.1,2,11,1.5,63,14,12.5,32,1,5.3,4.1,0.4,3.8,,3,5.7,3.6,,,2,2,2,2,1,1,2,1,2,2,2,2,2,2,1,1,1,2,2,2,2,1,2,1,1,2,2,2,2,2,1,2,2,3,2,,,,,,,,
8,Geonoma,aspidiifolia,aspidiifolia,,NY,"Henderson, A.",1079,Brazil,2.24,-2.4,59.43,-59.71,,,2.5,,,,9,16.2,16.9,2.4,3,10.7,0.8,80,13.4,8,33,1,4.8,,,4.4,3,2,6.6,3.5,9.7,6.4,2,,,2,1,1,2,1,2,2,2,2,2,2,,1,1,2,2,2,2,1,2,1,1,2,2,2,,,,2,2,3,2,2,2,1,2,2,1,,
1,Geonoma,aspidiifolia,aspidiifolia,,NY,"Henderson, A.",1152,Brazil,2.53,-2.88,59.58,-59.96,,,1.5,1.02,3.8,8,11.5,27.5,23.5,3.1,3,16,2.2,80,16,10.5,35,1,6.9,,,6,4.8,4,8.5,3.7,10,6.2,2,2,2,2,1,1,2,1,2,2,2,2,2,2,,1,1,2,2,2,2,1,2,1,1,2,2,2,2,2,1,2,2,3,2,2,2,1,2,2,1,,
