Number,Genus,Species,Subspecies,Preliminary,Herbarium,Collector,Colnumber,Country,Latitude,Dlatitude,Longitude,Dlongitude,Elevation,Plheight,Stemlength,Stemdiameter,Leafnumber,Sheath,Petiole,Rachislen,Nodivisions,Pinlen,Pinwid,Pedbract,Pedunclelen,Straclen,Stracnum,Stflowlen,Nostamen,Psraclen,Psracnum,Fruitlen,Fruitdiam,Seeds,Acaule,Vertic,Petiol,Shefib,Pinnae,Ahairs,Auricl,Flabel,Starac,Toment,Bracte,Arrang,Stampe,Surfac,Granul,Margin,Stamen,Stalen,Anther,Pisrac,Cuspid,Pismar,String,Angled,Frgray,Fibers,Locpit,Endbas,Xfiber,Endfib,Seeded,Opercu,Hollow,Fruitcolor
2,Attalea,allenii,,A. allenii,NY,Gentry,48429,Colombia,3.59,3.98,76.58,-76.96,100,,,,,,,,,55.5,2.9,,,,,,,0.5,,,,,2,,,,3,3,1,1,,,,,,,,,,,,,1,1,1,,,,,,,,,,,
3,Attalea,allenii,,A. allenii,NY,King,671,Colombia,5.3,5.5,76.47,-76.78,,,,,,,210,,90,,,,,,,,,,,,,,,,2,,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Attalea,allenii,,A. allenii,NY,Monsalve,1423,Colombia,3.55,3.91,77,-77,100,4,,,12,,,,,61,3,,,,,,,,,59.4,37.2,,,,,,3,3,2,1,,,,,,,,,,,,,,,,2,2,,,,,2,,,,brown
5,Attalea,allenii,,A. allenii,NY,King,548,Colombia,5.3,5.5,76.47,-76.78,,4,,,12,,120,210,92,59,3.4,,,,,,,,,67.8,35.2,2,2,2,2,2,3,3,2,,,,,,,,,,,,,,,,,2,2,,,,,2,,,,
6,Attalea,allenii,,A. allenii,NY,King,664,Colombia,5.4,5.66,76.47,-76.78,,3.27,,,4,,63,,,72,3.1,,,,,,,0.3,,,,,2,,2,,3,,2,1,,,,,,,,,,,,1,1,1,1,,,,,,,,,,,
7,Attalea,allenii,,A. allenii,NY,de Nevers,4152,Panama,9.19,9.31,78.55,-78.91,300,,,,,,150,,,,3.8,,,,,,,0.5,,70.8,36,3,2,,2,,3,,2,1,,,,,,,,,,,,1,1,1,,2,2,1,2,3,1,2,2,1,,
8,Attalea,allenii,,A. allenii,NY,Garcia,386,Colombia,6.2,6.33,77.2,-77.33,50,4.5,,,,,250,,78,,,,,,,,,,,,,,,,2,,3,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,brown
332,Attalea,allenii,,A. allenii,BH,Allen,4103,Panama,7.27,7.45,77.07,-77.11,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
434,Attalea,allenii,,A. allenii,COL,Cuadros,2194,Colombia,8.31,8.51,74.02,-74.03,,,,,,,,,,,,,,,,,,,,87.1,38.8,,,,,,3,,2,,,,,,,,,,,,,,,,,2,2,,,,,,,,,light brown
435,Attalea,allenii,,A. allenii,COL,Galeano,405,Colombia,5.43,5.71,76.36,-76.6,150,,,,5,,210,265,83,,,,,,,,,,,,,,2,,2,,3,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,yellow
436,Attalea,allenii,,A. allenii,COL,Galeano,7982,Colombia,5.44,5.73,76.31,-76.51,78,,,,11,,,350,99,,,48,26,,,,,,,66.3,34.6,2,2,,2,,3,,2,1,,,,,,,,,,,,1,,1,,2,2,,,,,2,,,,brown
437,Attalea,allenii,,A. allenii,COL,Galeano,8138,Colombia,4.04,4.06,77.12,-77.2,48,,,,9,,,270,98,,,60,,,,,,,,,,,2,,2,,3,,2,1,,,,,,,,,,,,1,,1,,,,,,,,,,,,
438,Attalea,allenii,,A. allenii,COL,Bernal,431,Colombia,7.19,7.31,76.39,-76.65,125,,,,8,,270,545,148,,,,50,,,,,0.5,,79.1,42.4,2,2,,2,,3,,2,1,,,,,,,,,,,,1,,1,,2,2,,,,,2,,,,brown-yellow
439,Attalea,allenii,,A. allenii,COL,Bernal,465,Colombia,7.19,7.31,76.39,-76.65,125,,,,10,,200,547,124,,,,,4,,,,,,,,,2,,2,,3,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
440,Attalea,allenii,,A. allenii,COL,Bernal,1149,Colombia,7.44,7.73,76.14,-76.23,200,,,,14,,323,510,152,,,,,,,,,,,72.4,34.2,2,2,,2,,3,3,2,1,,,,,,,,,,,,,1,1,,2,2,,,,,,2,,,yellow
441,Attalea,allenii,,A. allenii,COL,Betancur,5988,Colombia,7.13,7.21,76.27,-76.45,340,5,,,12,,227,432,132,,,,,,,,,,,75.2,34.9,,2,,2,,3,,2,1,,,,,,,,,,,,1,,1,,2,2,,,,,,,,,
442,Attalea,allenii,,A. allenii,COL,Bernal,687,Colombia,6.23,6.38,76.43,-76.71,60,,,,8,,245,342,92,,,,,,,,,,,,,,2,,2,,3,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,
443,Attalea,allenii,,A. allenii,COL,Bernal,1024,Colombia,5.16,5.26,76.3,-76.5,150,,,,6,,,,,,,,,5.7,,10.3,6,,,,,,2,,,,3,,,1,,2,,1,1,2,1,3,1,3,1,,,,,,,,,,,,,,,
505,Attalea,allenii,,A. allenii,K,Sugden,466,Panama,8.48,8.8,77.4,-77.66,62,,,,8,,,,,76.5,3.8,,,4.8,,14.4,6,,,,,,2,2,,2,3,3,2,,1,,2,1,1,2,1,3,1,3,,,,,,,,,,,,,,,,
506,Attalea,allenii,,A. allenii,K,Sugden,624,Panama,8.48,8.8,77.4,-77.66,36,,,,10,,,,,80,4.1,,,,,,,,,87.2,37.2,,2,,2,,3,,2,1,,,,,,,,,,,,,,,,2,2,,,,,,,,,
526,Attalea,allenii,,A. allenii,BH,Anderson,35,Colombia,3.56,3.93,77.01,-77.01,,,1,,5,,60,228,107,59.5,4.7,,14,3.5,,11.3,,,,65.2,36.1,,,,2,,3,,2,1,1,2,,1,1,2,1,3,1,3,1,,1,1,,2,2,,,,,,,,,brown
527,Attalea,allenii,,A. allenii,BH,Duke,11377,Colombia,7.18,7.3,77.33,-77.55,200,,,,,,,,,61,4,,,,,,,,,,,,2,,2,,3,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,orange-yellow
528,Attalea,allenii,,A. allenii,BH,Moore,9460,Colombia,3.47,3.78,77.16,-77.26,,,,,5,,,,55,66,3.2,,,2.5,,13.2,,,,68.6,34.8,2,2,,2,,3,,1,,,2,2,1,,,,,,,,1,1,1,,2,2,,,,,2,,,,brown
529,Attalea,allenii,,A. allenii,BH,Moore,9468,Colombia,3.53,3.88,77,-77,,,,,,,,,,54,3.3,,,2.5,,,,,,,,,2,,,,3,,2,1,1,2,2,1,,,,,,,,,,,,,,,,,,,,,,
,Attalea,allenii,,A. allenii,F,Cuatrecasas,19948,Colombia,3.48,3.8,77.16,-77.28,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
603,Attalea,allenii,,A. allenii,US,Cuatrecasas,16397,Colombia,3.52,3.86,76.31,-76.51,27,,,,,,,,,53,2.2,,,,,,,,,,,,,,,,3,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
604,Attalea,allenii,,A. allenii,US,Killip,35311,Colombia,5.2,5.33,76.3,-76.5,237,,,,,,,,,55,2.7,,,,,10.2,6,,,,,,,,,,,,,,,,,1,1,2,1,3,1,3,1,,,,,,,,,,,,,,,
606,Attalea,allenii,,A. allenii,US,Cook,64,Colombia,3.53,3.88,77,-77,,,,,,,,,,,3.7,,,,,11.9,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
678,Attalea,allenii,,A. allenii,MO,de Nevers,7301,Panama,9.19,9.31,78.55,-78.91,350,,,,9,,225,372,103,,,,,,,,,0.3,,91.6,46.1,,2,,2,,3,,,1,,,,,,,,,,,,,,,1,2,2,,,,,,,,,
679,Attalea,allenii,,A. allenii,MO,Gentry,6298,Panama,9.22,9.37,79.52,-79.87,15,,,,,,,,,,,,,,,,,0.5,,64.8,35.9,,2,,,,,,,1,,,,,,,,,,,,,,,,2,2,,,,,,,,,
680,Attalea,allenii,,A. allenii,MO,Lao,197,Panama,9.12,9.2,80.07,-80.11,75,,,,,,,,,,,,,,,,,,,83.5,31.9,,2,,,,3,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,
681,Attalea,allenii,,A. allenii,MO,Hammel,4543,Panama,9.02,9.03,80.34,-80.57,100,,,,,,,,,,,,,,,,,,,76.5,37.9,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,
682,Attalea,allenii,,A. allenii,MO,Gentry,6419,Panama,9.16,9.26,78.15,-78.25,100,,,,,,,,,,,,,,,,,,,,35.5,1,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,brown
683,Attalea,allenii,,A. allenii,MO,Croat,15308,Panama,9.19,9.32,79.47,-79.79,,,,,,,150,,,53.5,2.6,,,,,11.6,,,,,,,2,,2,,3,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,
