NUMBER,Genus,SPECIES$,HERBARIUM$,COLLECTOR$,COLNUMBER,COUNTRY$,LATITUDE,DLATITUDE,LONGITUDE,DLONGITUDE,ELEVATION,PLHEIGHT,STEMHEIGHT,STEMDIAMETER,LEAFNUMBER,SHEATH,PETIOLE,RACHISLEN,RACHISWID,NODIVISIONS,BASPINLEN,BASPINWID,BASPINANG,APINLEN,APINWID,APINANG,PROPHYLL,PEDBRACT,DISTANCE,PEDUNCLELEN,PEDUNCLEWID,STAMRACHLEN,PISTRACHLEN,FRUITLEN,FRUITDIAM,STEMBRANCH,OCREAS,PINNAE,PINBASES,VEINADAX,MORPHIC,FRUITS
1,Leopoldinia,major,NY,Acevedo,8026,Brazil,0.52,-0.86,62.58,-62.96,100,,,,,,65,,,,,,,,,,,,,,,0.8,15,,,,,,2,2,1,
48,Leopoldinia,major,NY,Alencar,122,Brazil,1.05,-1.08,62.42,-62.7,,,,,,,,,,,,,,,,,,,,,,1.3,,,,,,,2,2,1,
26,Leopoldinia,major,NY,Davidse,27845,Venezuela,1.4,1.66,66.33,-66.55,80,8,,,,,,,5.1,,,,,,,,,,,,15.5,,14,40.2,30.3,,2,,2,2,1,2
23,Leopoldinia,major,NY,Davidse,27714,Venezuela,1.23,1.38,66.28,-66.46,80,8,,,,,,,5.5,,,,,,,,,,,,19.3,,10.5,43.9,33.3,,2,,2,2,1,2
47,Leopoldinia,major,NY,Fróes,22368,Brazil,0.24,-0.4,65.02,-65.03,,,,,,,,,,,,,,,,,,,,,,1.3,,33.6,28.1,,2,,2,2,1,2
95,Leopoldinia,major,US,Gentry,47344,Venezuela,1.05,1.08,66.28,-66.46,130,6,,,,,,58,5.4,13,,,,,,,,,,,,0.9,18,42.6,39.2,,,2,2,2,1,2
7,Leopoldinia,major,NY,Luetzelburg,23047,Brazil,0.36,0.6,69.2,-69.33,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,2,,
44,Leopoldinia,major,NY,Prance,15167,Brazil,0.5,-0.83,62.59,-62.98,,,,,10,,77,52.5,5.1,12,,,,,,,,,6,26,10,0.6,,,,,2,,2,2,1,
61,Leopoldinia,major,K,Putz,179,Venezuela,,,,,,,,,12,23,,,4.9,,,0.2,,,,,,,,,,1,11.5,38.8,30.5,1,2,,2,2,1,2
62,Leopoldinia,major,BH,Schultes,8885,Brazil,0.24,-0.4,65.01,-65.03,,,,,,,,59,7.2,14,41.5,0.8,,26,1.5,,,,14,,20.4,,11.6,,,,2,,,,1,
45,Leopoldinia,major,NY,Stergios,16262,Venezuela,1.5,1.83,66.35,-66.58,,5,,,,,,,4.4,,,,,,,,,,,,11.8,,13.4,,,,2,,2,2,1,
86,Leopoldinia,major,US,Steyermark,102454,Venezuela,1.5,1.83,66.3,-66.5,100,,,,,,,,5.8,,,,,,,,,,,,,1,11,38.4,34.7,2,2,2,2,2,1,2
94,Leopoldinia,major,US,Thomas,3449,Venezuela,1.05,1.08,66.25,-66.41,,,,,,,,,,,,,,,,,,,,,,1,,45.5,36.3,,,,2,2,1,2
109,Leopoldinia,major,K,Trail,1062,Brazil,,,,,,,,,,,,,6.1,,,0.2,69,22.5,0.6,7,,,,,,2,13.5,,,,2,,2,2,1,
112,Leopoldinia,major,K,Trail,1063,Brazil,0.24,-0.4,65.01,-65.03,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,1,
82,Leopoldinia,piassaba,COAH,Arias,658,Colombia,3.44,3.73,67.29,-67.48,,,,,,,,,23.7,,41,0.3,,,,,,,,,,,,,,,,,,,,
81,Leopoldinia,piassaba,COAH,Bernal,4388,Colombia,1.19,1.31,66.55,-66.91,72,,10,,21,,125,270,,57,,,,37,0.7,10,,,,32,,,9.5,43.2,36.8,1,3,,1,1,1,3
79,Leopoldinia,piassaba,COAH,Cárdenas,14806,Colombia,3.27,3.45,67.53,-67.88,125,,4,,19,,,,21.5,65,,,,,1,5,,,,,,,,,,,3,,1,1,,
58,Leopoldinia,piassaba,NY,Henderson,975,Venezuela,2.01,2.01,65.07,-65.11,228,,5,,16,,150,330,22.3,59,,,,,,,,,,,,,15.5,,,1,3,1,1,1,1,
11,Leopoldinia,piassaba,MO,Hoffmann,906150,Venezuela,,,,,,,,,,,,,10.6,,,,,,,,,,,,,,,,,,,,1,1,,
73,Leopoldinia,piassaba,BH,Luetzelburg,22894,Venezuela,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,Leopoldinia,piassaba,F,Luetzelburg,23149,Venezuela,,,,,,,,,,,,,,,,,,,,,,,,,,1.6,12.5,,,,,,,,1,
84,Leopoldinia,piassaba,NY,Luetzelburg,22663,Venezuela,1.19,1.31,65.47,-65.78,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,1,1,,
60,Leopoldinia,piassaba,NY,Luetzelburg,22350,Venezuela,1.19,1.31,65.47,-65.78,,,,,,,,,,,,,,,,,,,,,,1.3,,,,,,,,,1,
71,Leopoldinia,piassaba,BH,Schultes,9380,Colombia,2.02,2.05,67.07,-67.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,Leopoldinia,piassaba,K,Spruce,50.1,Venezuela,1.59,1.98,66.57,-66.95,,,,,,,,,,,,,,,,,,,,,,1.5,16,,,,,,,,1,
12,Leopoldinia,piassaba,MO,Stergios,18549,Venezuela,,,,,,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Leopoldinia,piassaba,NY,Stergios,9525,Venezuela,1.5,1.83,66.45,-66.75,175,4,,,,,,,,,,,,,,,,,,,,1.9,,,,,,,1,1,1,
85,Leopoldinia,piassaba,NY,Stergios,13118,Venezuela,2.3,2.5,66.3,-66.5,,4,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,
57,Leopoldinia,piassaba,NY,Stergios,15378,Venezuela,2.3,2.5,65.1,-65.18,275,5.5,,,,,,,,,,,,,,,,,,,,,16,44.2,35.7,,,,1,1,1,3
15,Leopoldinia,piassaba,F,Steyermark,58400,Venezuela,3.16,3.26,65.33,-65.55,215,,,,,,,,11,,,1,45,,1,3,,,,,,,,,,,3,,1,1,,
110,Leopoldinia,piassaba,K,Trail,1064,Brazil,0.08,-0.13,64.04,-64.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,
56,Leopoldinia,piassaba,NY,Wessels Boer,2309,Venezuela,1.55,1.91,67,-67,125,,4,15,14,45,75,270,21.5,53,,,,,,,,,,80,49.8,,15,35.5,31.3,1,3,1,1,1,1,3
14,Leopoldinia,piassaba,F,Williams,14257,Venezuela,2.43,2.71,67.33,-67.55,127,9,,,,,125,,,,,,,,,,,,,,,,,,,,,,1,1,,
93,Leopoldinia,piassaba,US,Williams,14064,Venezuela,2.55,2.91,67.26,-67.43,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,
2,Leopoldinia,pulchra,NY,Acevedo,8027,Brazil,0.52,-0.86,62.58,-62.96,100,,,,,,60,,7.1,,,,,,,,,,,,,,5,,,,1,,,1,2,
64,Leopoldinia,pulchra,BH,Anderson,93,Brazil,2.49,-2.83,60.3,-60.5,,,,5,10,,48,116,10.1,,,0.1,,,,,,,,26,17.7,,5,,,2,1,,,,2,
66,Leopoldinia,pulchra,BH,Anderson,216,Brazil,3.11,-3.18,60.08,-60.13,,,3,,16,28,49,,8,26,,0.3,,20,0.8,,,,,35,,,4.5,,,,1,,,,2,
96,Leopoldinia,pulchra,COAH,Arias,2010,Colombia,3.52,3.86,67.51,-67.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,Leopoldinia,pulchra,COAH,Arias,2023,Colombia,3.46,3.76,67.31,-67.51,,,,,,,,,,25,,,,,,,,,,,,,,36.8,32.2,,,,1,1,,
13,Leopoldinia,pulchra,MO,Aymard,11917,Venezuela,4.06,4.1,66.38,-66.63,120,,,,,,,,,,,,,,,,,,,,,,3.3,28.9,27.5,1,,,,,2,1
24,Leopoldinia,pulchra,NY,Aymard,8327,Venezuela,3.05,3.08,65.35,-65.58,150,,,,,,,,5.9,,,,,,,,,,,,,,,27,26.8,,,,1,1,,1
100,Leopoldinia,pulchra,COL,Bernal,2105,Colombia,3.5,3.83,67.52,-67.86,200,,2,5.5,12,37,48,55,7.5,18,,,,,,,,,,33,,,,26.6,22.3,,1,,1,1,,1
102,Leopoldinia,pulchra,COL,Bernal,4372,Colombia,3.28,3.46,67.25,-67.41,91,,3.5,6,7,20,31,49,,18,,,,,,,21,15,3.5,29,13,,,31.8,28.4,2,1,1,1,1,,1
103,Leopoldinia,pulchra,COL,Bernal,4407,Colombia,1.17,1.28,66.55,-66.91,73,,6,10,5,25,31,56,5.6,17,26,0.3,115,,1,8,,,,25,,,,29.7,26.9,,,,,,,
65,Leopoldinia,pulchra,BH,Berry,794,Venezuela,3.57,3.95,67.06,-67.11,,2,,,,,,,,,,,,,,,,,3.7,,12.7,,,24.2,22.9,,1,,,,,1
92,Leopoldinia,pulchra,US,Black,471745,Brazil,2.41,-2.68,54.53,-54.88,,4.5,,,,,,,8,,,,,,,,,,,,,,3.6,,,,1,,1,1,2,
40,Leopoldinia,pulchra,NY,Bunting,4019,Venezuela,2.55,2.91,67.25,-67.41,132,,,8,,,,,7.2,,,,,,,,,,,,,,2.7,,,,,,1,1,2,
36,Leopoldinia,pulchra,NY,Campbell,21985,Brazil,3.22,-3.36,57.42,-57.7,,,3,,,,,,7.4,26,,,,,,,,,,,,,,20.4,22.4,,1,,1,1,,1
99,Leopoldinia,pulchra,COAH,Cárdenas,21562,Colombia,4.04,4.06,67.54,-67.9,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,
105,Leopoldinia,pulchra,COAH,Cárdenas,24080,Colombia,1.19,1.31,66.53,-66.88,200,,3,,,,,,,,,,,20,3,11,,,,,,,,,,1,,,1,1,,
106,Leopoldinia,pulchra,COAH,Cárdenas,15248,Colombia,3.27,3.45,67.54,-67.9,110,,,,,,,,6.6,,,0.5,130,,,,,,,,,,,,,,,,1,1,,
107,Leopoldinia,pulchra,COAH,Cárdenas,14747,Colombia,3.26,3.43,67.54,-67.9,125,,6,,,,,,6.7,15,23.5,0.2,,16,1,14,,,,,,,,,,,,,1,1,,
97,Leopoldinia,pulchra,COAH,Cárdenas,20531,Colombia,4.02,4.03,67.42,-67.7,,3,,,,,,,,22,,,,,,,,,,,,,,35,36.1,,,,,,,1
41,Leopoldinia,pulchra,NY,Clark,7493,Venezuela,1.56,1.93,67.03,-67.05,119,7,,,,,,,,20,,,,12,2.5,9,,,,,,,4.7,34.9,36.2,,1,,1,1,2,1
28,Leopoldinia,pulchra,NY,Cuello,566,Venezuela,6.48,6.8,67.22,-67.36,,,,,,,,,6.6,,,,,16.5,3,4,,,,,,,,,,,1,,1,1,,
114,Leopoldinia,pulchra,F,da Costa,,Brazil,4.15,-4.25,55.59,-55.98,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,2,
104,Leopoldinia,pulchra,F,Dahlgren,615312,Brazil,2.26,-2.43,54.41,-54.68,,,,,,,,,9,,,0.2,,20,,,40,35,,,,,4.5,,,,1,,1,1,2,
27,Leopoldinia,pulchra,BH,Davidse,15646,Venezuela,6.35,6.58,67.15,-67.25,50,4,,,,,,,10.1,,,,,,,,,,,,,,6.7,,,,1,,1,1,2,
72,Leopoldinia,pulchra,BH,Davidse,12426,Venezuela,6.32,6.53,67.22,-67.36,35,7,,,,,,,,,,,,,,,,,,,,,5.1,23.6,21,,,,1,1,2,1
10,Leopoldinia,pulchra,MO,Davidse,17038,Venezuela,3.4,3.66,67.22,-67.36,95,3,,,,,,73,8,22,,,,,,,,,,,7.6,,6.2,35,32.2,,1,,1,1,2,1
