NUMBER,Genus,SPECIES$,SUBSPECIES$,HERBARIUM$,COLLECTOR$,COLNUMBER,COUNTRY$,LATITUDE,DLATITUDE,LONGITUDE,DLONGITUDE,ELEVATION,STEMHEIGHT,STEMDIAMETER,LEAFNUMBER,SHEATH,PETIOLE,RACHISLEN,RACHISWID,NODIVISIONS,BASPINLEN,BASPINWID,BASPINANG,APINLEN,APINWID,APINANG,ORDERS,PROPHYLL,PEDBRACT,DISTANCE,PEDUNCLELEN,PEDUNCLEWID,NORACHILLAE,RACHILLLEN,RACHILLWID,FRUITLEN,FRUITDIAM,STEMBRANCH,INFLOBRAN,BRACTS,PROXSHAPE,FRUITS
75,Pholidostachys,amazonensis,,MO,Barbour,4471,Peru,4.56,-4.93,78.11,-78.18,,,,,,,42,3.7,6,,,,,3.5,15,0,,,,,3.2,1,18.7,5.9,,,,4,2,3,
93,Pholidostachys,dactyloides,,BH,Anderson,12,Colombia,3.56,3.93,77.01,-77.01,,3.15,9,8,40,40,137,11.9,,58,2.8,,51,15,,1,,,,25,9.8,4,50,6.2,,,1,3,1,2,
10,Pholidostachys,dactyloides,,NY,Arguëllo,526,Ecuador,0.05,0.08,79.02,-79.03,800,5.3,6,15,37,53,,14.8,17,,2,55,,16.5,11,1,,,6,15.5,19,8,45,8,12,7.2,1,3,,2,3
3,Pholidostachys,dactyloides,,NY,Arguëllo,477,Ecuador,0.05,0.08,79.02,-79.03,800,6.68,7,18,38,40,,17.8,16,,2,59,,14.7,,1,,,,,9.6,,46.5,7.8,,,,3,,2,
70,Pholidostachys,dactyloides,,NY,Arguëllo,424,Ecuador,0.05,0.08,79.02,-79.03,800,2.96,,17,43,66,,18.5,,92,3.5,42,,,,,,,,,,,,,12.3,7,1,,,2,3
203,Pholidostachys,dactyloides,,AAU,Balslev,62520,Ecuador,3.11,-3.18,79.41,-79.68,300,3.9,6.5,12,,,155,9.8,10,56,3,41,36,11.5,18,1,,,,,12,9,30.5,6,13.9,9.1,1,3,,2,3
92,Pholidostachys,dactyloides,,NY,Balslev,60677,Ecuador,0.17,-0.28,79.15,-79.25,300,3.9,10,12,80,40,160,16.4,11,40,1,48,53.5,22,12,1,59,,,,,,,,,,1,,1,2,
9,Pholidostachys,dactyloides,,NY,Balslev,62097,Ecuador,0.5,0.83,78.27,-78.45,850,8,8,20,20,69,142,17.4,9,55,1.5,42,48,11.3,9,1,50,55,11,21,15.6,16,42,6.5,,,,3,1,2,
7,Pholidostachys,dactyloides,,NY,Balslev,62023,Ecuador,0.22,-0.36,79.2,-79.33,300,6.5,7,15,45,20,110,14,7,64,2,58,,19.7,11,1,39,,,14,10.3,9,,,,,1,3,,2,
18,Pholidostachys,dactyloides,,NY,Barfod,60109,Ecuador,0.46,0.76,78.54,-78.9,100,4.5,5.5,17,14,122,157,,9,,,,,,,1,52,50,10.5,21,8.7,8,43.5,5.2,,,1,,,2,
2,Pholidostachys,dactyloides,,NY,Bergmann,62180,Ecuador,2.55,-2.91,79.35,-79.58,20,8,9.5,11,,,134,15.2,12,,2,62,41.5,4.5,12,1,,,5,11.5,9.7,11,32,4.5,10.2,7.6,1,3,,2,3
126,Pholidostachys,dactyloides,,COL,Bernal,2495,Colombia,1.2,1.33,78.07,-78.11,1100,6,10,25,,,96,,8,,,,,,,1,,,,,,,,,,,1,,,2,
278,Pholidostachys,dactyloides,,COL,Bernal,4228,Colombia,2.35,2.58,77.53,-77.88,10,3.5,4,8,,,75,,8,,,,,,,,,,,,,,,,,,,,,,
116,Pholidostachys,dactyloides,,COL,Bernal,1519,Colombia,3.54,3.9,76.38,-76.63,525,4,9,18,,,130,12.8,8,,,,,,,1,,,,,,,27.5,6.4,,,1,,,2,
119,Pholidostachys,dactyloides,,COL,Bernal,680,Colombia,6.13,6.21,76.43,-76.71,80,3.5,7,15,,,123,,11,,,,,,,1,,,,,,,23,4.8,9.1,7,1,,1,2,
120,Pholidostachys,dactyloides,,COL,Bernal,424,Colombia,7.18,7.3,76.3,-76.5,100,6,7,15,,,155,,9,,,,,,,1,,,,,,,17,5.3,9.3,7.3,1,,1,2,
130,Pholidostachys,dactyloides,,COL,Bernal,1035,Colombia,5.17,5.28,76.22,-76.36,250,5,8,15,,,108,7.9,8,,,,,,,1,,,,,,,34.5,7.5,16.3,11.5,1,3,1,2,3
12,Pholidostachys,dactyloides,,NY,Bernal,876,Colombia,1.45,1.75,78.48,-78.8,100,4,8,12,50,40,127,8.5,8,53,1.5,70,46.5,15.3,20,1,,,7,16,7.1,10,27,4.5,8.8,6.2,1,3,,2,3
17,Pholidostachys,dactyloides,,NY,Bernal,302,Colombia,6.44,6.74,76.22,-76.36,950,3.8,,20,,,68,9.2,9,,,,36.5,12.5,15,1,,,2.5,8.5,10,13,17,6.7,,,1,3,1,2,
1,Pholidostachys,dactyloides,,NY,Bernal,74,Colombia,5.5,5.83,76.15,-76.25,,5.7,8.2,13,39,20,120,13.3,9,34,0.8,33,,,,1,,,,,12.8,7,43,9.2,14.6,10.2,1,3,1,2,3
6,Pholidostachys,dactyloides,,NY,Bernal,351,Colombia,6.34,6.58,76.14,-76.24,800,7,7,15,25,50,109,15.7,10,50,2.5,62,58,18,,1,,,5,14.5,11.5,11,33,8.4,12.5,9.7,,3,1,2,3
195,Pholidostachys,dactyloides,,MO,Cerón,10131,Ecuador,0.03,0.05,79.07,-79.11,725,,,,,,,,,,,,,,,1,,,,,10.9,,35.5,5.6,,,,3,,2,
151,Pholidostachys,dactyloides,,MO,Cogollo,5056,Colombia,6.33,6.55,76.19,-76.31,932,3,5,,,50,100,8.1,9,36,0.7,52,,10,14,1,,,,,6.8,10,16,5.4,10.7,7.6,1,3,,2,3
19,Pholidostachys,dactyloides,,NY,Cogollo,3473,Colombia,6.34,6.56,76.19,-76.31,1440,2,4.5,,,,,11.3,,,,,44,9,16,1,,,,,,8,,,11.9,8.3,,,,2,3
