GENUS,SPECIFIC EPITHET,INFR SPECIES,COLLECTOR,COL NUM,HERB ACRONYM,DATE,STEM,Tree height,STEM LENGTH/Meters,STEM DIAMETER,External fibres,NUMBER OF LEAVES,Leaf length,PETIOLE LENGTH,PETIOLE WIDTH,PETIOLE CROSS SECTION SHAPE,PETIOLE COLOR,PETIOLE TEXTURE,LEAF RACHIS CROSS SECTION FORM,LEAF RACHIS COLOR,LEAF RACHIS TEXTURE,PINNAE TOTAL NUMBER,PINNAE NUMBER ON ONE SIDE,PINNAE DISPOSITION,PINNAE INSERTION ANGLE,PINNAE SHAPE,PINNAE BASAL LENGTH,PINNAE BASAL WIDTH,PINNAE MEDIAL LENGTH,PINNAE MEDIAL WIDTH,PINNAE APICAL LENGTH,PINNAE APICAL WIDTH,PINNAE APEX SHAPE,PINNAE MARGIN POSITION TO MIDRIB,Pinnae midrib spiny,PINNAE SPINY MARGINS,Length of spines,APEX SHAPE OF LAST PINNAE,Shape of first basal pinnae,INFLORESCENCE POSITION,POSITION OF PISTILLATE & STAMINATE INFL.,NUMBER OF INFL.,INFL.TYPE,NUMBER OF RAMIFICATION ORDERS,DEVT. STAGE OF INFL.,INFL.LENGTH,INFL.WIDTH,INFL.COLOR,INFL.RACHIS WIDTH,INFL.RACHIS CROSS SECTION FORM,bracts of inflorescence,X82,DISTANCE BETWEEN FIRST ORDER RACHILLAE,DISPOSITION OF FIRST ORDER RACHILLAE,Shape of first order rachillae,SHAPE OF FIRST ORDER RACHILLAE terminal bud,Terminal bud length and widest width,RACHILLAE FERTILE APEX,BASAL LENGTH OF 1ST ORDER RACHILLAE,BASAL WIDTH OF 1ST ORDER RACHILLAE,MEDIAL LENGTH OF 1ST ORDER RACHILLAE,MEDIAL WIDTH OF 1ST ORDER RACHILLAE,APICAL LENGTH OF 1ST ORDER RACHILLAE,APICAL WIDTH OF 1ST ORDER RACHILLAE,1ST ORDER RACHILLAE COLOR,1ST ORDER RACHILLAE TEXTURE,NUMBER OF 2ND ORDER RACHILLAE,DISPOSITION OF 2ND ORDER RACHILLAE,SHAPE OF 2ND ORDER RACHILLAE APEX,BASAL LENGTH OF 2ND ORDER RACHILLAE,BASAL WIDTH OF 2ND ORDER RACHILLAE,MEDIAL LENGTH OF 2ND ORDER RACHILLAE,MEDIAL WIDTH OF 2ND ORDER RACHILLAE,APICAL LENGTH OF 2ND ORDER RACHILLAE,APICAL WIDTH OF 2ND ORDER RACHILLAE,2ND ORDER RACHILLAE COLOR,2ND ORDER RACHILLAE TEXTURE,LONGITUDINAL DISPOSITION OF 2ND ORDER RACHILLAE,FLOWER DISPOSTION ON 2ND ORDER RACHILLAE,X112,FLOWER TYPE,Length,FLOWER SHAPE,PETAL NUMBER,STAMEN COLOUR,FLOWER TYPE_1,Length_1,FLOWER SHAPE_1,PISTIL POSITION REL. TO OTHER ORGANS,PISTIL COLOUR,FRUIT SHAPE,FRUIT LENGTH,FRUIT WIDTH,FRUIT DEVT. STAGE,Beak length,Beak Basal width,Number of rows of scales,width of scale,Groove width,Seed length,Seed width,FRUIT COLOUR,VEGETATION TYPE,SOIL TYPE,WILD/CULTIVATED,OBSERVATION
Raphia,africana,,Otedoh M. & Nneji C.,7377,K,5-4-1974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,post anthesis,,,,,,,,,,,Terminal bud almost not seen. Its sought of elongated to a Second order rachillae,,Yes,52,3.2,,,,,creamy brown,smooth,67,alternating in 2 rows on each side,Dorsi ventrally flattened,,,,1,10,,creamy brown,smooth,straight,alternating in 2 rows on each side,,Staminate,1,oblong curved,3,brown,Pistillate,1,oblong pear shaped,basal,brown,,,,Fruit still very young.,,,,,,,,brown,grows in swamps,swamps,,label mentions cultivated in swamps.
Raphia,africana,,Otedoh M. & Ovie J.,7378,K,3-3-1975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fruiting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oblong,10,4.8,mature,0.7,0.5,10,2.3,0.3,6.8,3,brown to light brown,,,,
Raphia,africana,,Otedoh M.O.,7373,K,1-7-1972,Yes,,9,,Drooping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fruiting,,,,,,,,,,,,,,,3.3,,,,,creamy brown,smooth,,alternating in 2 rows on each side,Dorsi ventrally flattened,,1.2,,1.2,,,creamy brown,smooth,straight,alternating in 2 rows on each side,,Staminate,1,Oblong,3,brown,,,,,,Oblong,,3.2,not yet mature,0.8,0.5,10-11 rows,,,,,yellow brown,Swampy area,,,Tapped for wine
Raphia,mambilliensis,,Keay RWJ,37938,K,10-5-1960,No,,,,,,,,,,,,dorsi ventrally keeled,,,,,,,Lanceolate,,,4.7,,,,,,,Yes,,,,,,,,,,,,,,,"Chestnut brown inside, light brown outside",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,By small stream with tall grass in farmland,,,
Raphia,mambilliensis,,Brunt M.,1140,K,15-6-1963,,,,,,,4.8,,,,brown with white spots,smooth,dorsi ventrally keeled,,,,,irregular,20,Lanceolate,,,,,,,Lanceolate,,Yes,Yes,,Needle-like,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raphia,mambilliensis,,Brunt M.,1195,K,18-7-1963,,,,,,,,,,Circular,brown with white spots,smooth,dorsi ventrally keeled,,,,,irregular,,Lanceolate,,,64,,,,Lanceolate,,,Yes,,Needle-like,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raphia,hookeri,,Ake Assi L.,10018,K,26-3-1968,,,,,,,,,,,,,dorsi ventrally keeled,brown,,,,,15,Lanceolate,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,Flattened,4.2 X 1.4,yes,,,,,,,creamy brown,smooth,,alternating in 2 rows on each side,Dorsi ventrally flattened,,,,1.2,14,1,creamy brown,smooth,straight,alternating in 2 rows on each side,,,,,,,,,,,,,,,,,,,,,,,,Swamp,,,
Raphia,hookeri,,Hall J.B.,2442,K,8-1-1963,Yes,,7,0.9,,,6,3,10,,brownish-green,,dorsi ventrally keeled,,spines on keel,,60,,,,,,63,,17,0.6,Lanceolate,,,Yes,0.2,,Needle-like,pendulous,,4,,,,1.2,,,,,,,,,Dorsi ventrally flattened,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Obovate,6,3,,0.9,,,,,4.7,,,,,,
Raphia,sp.,,Hepper FN & Maley J,8210,K,11-2-1984,Yes,,14,,,,4,,,,,,dorsi ventrally keeled,,spines on keel,,,irregular,,Lanceolate,,,88,3.6,,,,,Yes,Yes,,,,Pendulous,"Pistil basal, Staminate distal",,,,"Fruiting, fruits immature",,,,,,,,,,,flattened,>4 X1.3,Yes,38,3.5,,,,,creamy brown,smooth,35,alternating in 2 rows on each side,Dorsi ventrally flattened,13,1.3,,1.2,7,1.1,creamy brown,smooth,straight,alternating in 2 rows on each side,,Staminate,,Oblong,3,brown,,,,,,Obovate,,,imatture,,,9 rows,,,,,dark brown,Depression swamp,,,"Second order rachillae quite short and more robust, thick. Thicker than etoure but not thicker than the oyem type. Rachillae here are flat."
Raphia,hookeri,,Sunderland T.C.H.,1912,K,30-4-1998,No,,,,,,6,2,,,,,dorsi ventrally keeled,grayish brown,spines on keel,,,irregular,55,,,,80,2.5,,,,,Yes,,,,,,"Pistil basal, Staminate distal",,,,"Fruiting,fruits seem mature",,,,,,,,,,Dorsi ventrally flattened but axis is more eliptic,flattened,5 X 1,Yes,,,,,,,grayish brown,smooth,,alternating in 2 rows on each side,Dorsi ventrally flattened,,,19,1.4,11.5,1.3,grayish brown,smooth,straight,One row on each side of rachillae,,Staminate,,Oblong,3,brown,,,,basal,,Elliptic,,,seem mature,1.1,0.4,12 rows,,,6.6,3,dull red brown,Besides stream in swamp forest,,,Looks like species collected in Gabon in the river
