Genus,Species,Subspecies,Preliminary,Herbarium,Collector,Colnumber,Country,Latitude,Dlatitude,Longitude,Dlongitude,Elevation,Sex,Stemheight,Stemdiameter,Petiole,Petiolewid,Segments,Lencenseg,Widcenseg,Nonsplit,Lenlatseg,Widlatseg,Nonsplitlat,Rachlen,Proxraclen,Proxracwid,Fruitlen,Fruitdiam,Ocreas,Hastula,Centseg,Joined,Scales,Indume,Inflor,Bracts,Rachil,Pedicel,Tubular,Filament,Pediform,Frcolor
Rhapis,evansii,,evansii,K,T. Evans,56,Laos,18.55,18.91,102.24,102.4,300,,0.8,0.52,15,1.1,6,23,2.7,0.2,21,1,0.3,,,,,,2,0,0,0,1,1,1,0,0,0,,,,
Rhapis,excelsa,,excelsa,NY,Wilford,,China,22.15,22.25,114.11,114.18,,pistillate,,,,2,6,18.6,2,2.2,17.3,2.6,1,19,9.5,1.6,9.3,7,,,,,,,,,,,,,1,
Rhapis,excelsa,,excelsa,NY,C. Ford,,China,,,,,,pistillate,,0.4,8.7,1.7,2,16.8,2.5,1.1,16.3,1.8,1.1,7.2,6.5,0.9,8.8,7.7,,,,,,,,,,,,,1,
Rhapis,excelsa,,excelsa,GH,N. Brigham,,China,,,,,,sterile,,,5.7,1.4,2,13.7,1.7,0.8,14,2,0.8,,,,,,3,0,1,1,0,1,,,,,,,,
Rhapis,excelsa,,excelsa,K,C. Ford,138,China,,,,,,pistillate,,,29.5,2.2,4,18.5,4.3,2,17,1.5,1,12.5,,,8.1,7.3,3,0,1,1,0,1,,0,,,,,1,
Rhapis,excelsa,,excelsa,NY,"Tsui, T. M.",249,China,22.24,22.4,114.08,114.13,,staminate,,,,2.9,7,27.5,3.9,4.7,24.7,1,1.8,,,,,,3,0,1,1,0,1,,0,1,1,1,0,,
Rhapis,excelsa,,excelsa,BH,Y. W. Taam,1432,China,22.15,22.25,114.1,114.16,,pistillate,,0.87,10,2.5,3,17,4.7,1.8,17.2,1.7,1.7,8,5.7,1.1,,,3,0,1,1,0,1,,0,,,,,,
Rhapis,excelsa,,excelsa,MO,N. T. Hiep,2,Vietnam,18.22,18.36,105.13,105.21,,pistillate,,,,2.4,,,,,,,,,,,,,3,0,1,1,0,1,,0,,,,,,
Rhapis,excelsa,,excelsa,NY,A. Henderson,4038,Vietnam,16.07,16.11,108.19,108.31,372,sterile,1.5,,45,3.7,12,34,2.9,7,27.5,1.7,2.9,,,,,,3,0,1,1,0,1,,,,,,,,
Rhapis,excelsa,,excelsa,HNU,NT,45,Vietnam,17.3,17.5,106.15,106.25,,pistillate,,,32.5,3.1,5,29,7.2,5,24.5,3.7,3.5,,,,,,,,1,1,0,1,,0,,1,1,,1,
Rhapis,excelsa,,excelsa,MO,N. T. Hiep,126,Vietnam,18.21,18.35,105.13,105.21,,staminate,,,,2.1,,,,,,,,,,,,,,,1,1,0,1,,0,1,1,1,0,,
Rhapis,excelsa,,excelsa,NY,A. Henderson,3221,Vietnam,17.34,17.56,106.18,106.3,20,staminate,2,,50,2.5,7,29,3.7,6.5,25.7,3.5,4.2,18,14.5,1,,,3,0,1,1,0,1,,0,1,1,1,0,,
Rhapis,excelsa,,excelsa,NY,A. Henderson,3250,Vietnam,17.27,17.45,106.13,106.21,100,pistillate,4,,56,4.2,12,38.5,4.8,7.7,23.5,2.7,2.5,21,,,,,,,1,1,0,1,,0,,,,,,
Rhapis,excelsa,,excelsa,NY,A. Henderson,3320,Vietnam,16.07,16.11,108.16,108.26,150,staminate,2,,,3.4,8,39.5,3.8,4.8,34.5,3.8,3.3,14,11,0.8,,,,,1,1,0,1,,0,1,1,1,0,,
Rhapis,excelsa,,excelsa,NY,A. Henderson,3432,Vietnam,18.19,18.31,105.22,105.36,100,pistillate,2.5,,,4.6,11,37.7,3.8,8.5,,,4.5,20.5,10,1.5,,,,,1,1,0,1,,0,,,,,1,
