Herbariu,Genus,Species,Collecto,Number,Country,Latitude,Longitud,Elevatio,Stemheig,Stemdiam,Stemclus,Stemclus,Pinclust,Pinnaecl,Lenmidpi,Widmidpi,Lfratio,Anglepin,Noveins,Inflobra,Nobracts,Lenpedun,Lenrachi,Widrachi,Ratiorac,Norachil,Lenbasra,Lenmidra,Lenapira,Nostamfl,Nostamen,Lenfruit,Widfruit,Ratiofru,Endosper,Norumina,Deprumin,Orders,Numracllae
mo,Synechanthus,fibrosus,Allen,15169,Belize,16.3,89.03,1098,2.9,,,,clu,2,0.32,0.024,0.075,45,5,,,,,,,25,,,,6,,,,,,,,,
mo,Synechanthus,fibrosus,Allen,15282,Belize,16.3,89.03,1098,,,,,clu,2,0.31,0.026,0.083870968,48,5,2,,,0.157,2.2,14.01273885,57,0.211,0.157,0.104,7,6,0.0098,0.0074,0.755102041,hom,6,0.3,1,4
ny,Synechanthus,fibrosus,Balick,2695,Belize,16.45,88.35,400,,,,,clu,2,0.4,0.024,0.06,34,6,2,,,0.184,2.1,11.41304348,61,0.231,0.205,0.09,6,,,,,,,,1,4
mo,Synechanthus,fibrosus,Boutin,5162,Belize,16.17,88.58,,1,0.025,clu,2,clu,2,0.349,0.025,0.071633238,58,5,2,7,0.683,0.215,3,13.95348837,75,0.2,0.184,0.102,6,,,,,,,,,
mo,Synechanthus,fibrosus,Boutin,5163,Belize,16.17,88.58,,,,,,clu,2,0.293,0.029,0.098976109,52,5,2,,,0.203,3.6,17.73399015,55,0.328,0.208,0.155,7,,,,,,,,1,5
mo,Synechanthus,fibrosus,Brant,2801,Honduras,15.39,87.16,150,,,sol,1,clu,2,0.394,0.029,0.073604061,32,5,2,8,0.67,0.178,2.3,12.92134831,45,0.193,0.163,0.12,6,6,,,,,,,1,2
bh,Synechanthus,fibrosus,Chazdon,108,Costa Rica,10.22,84.03,250,,0.03,sol,1,clu,2,0.245,0.04,0.163265306,45,5,2,,,0.158,3.2,20.25316456,32,0.193,0.157,0.104,6,,,,,,,,1,3
bh,Synechanthus,fibrosus,Chazdon,117,Costa Rica,10.22,84.03,300,,,,,clu,2,0.273,0.043,0.157509158,48,5,2,,,0.237,3.6,15.18987342,115,0.235,0.225,0.097,5,6,,,,,,,1,9
bh,Synechanthus,fibrosus,Chazdon,238,Costa Rica,10.22,84.03,550,,,,,clu,2,0.347,0.056,0.161383285,57,7,2,,,0.08,1.6,20,21,0.145,0.12,0.095,6,,,,,,,,1,2
mo,Synechanthus,fibrosus,Croat,24527,Belize,17.03,88.33,100,,,,,clu,2,0.265,0.022,0.083018868,32,3,2,,,0.203,2,9.852216749,76,0.178,0.201,0.094,6,6,0.0159,0.012,0.754716981,rum,10,0.6,1,6
mo,Synechanthus,fibrosus,Croat,24556,Belize,17.1,88.45,70,,,,,clu,2,0.396,0.035,0.088383838,33,3,2,,,0.189,3,15.87301587,59,0.336,0.203,0.192,6,6,,,,,,,1,5
mo,Synechanthus,fibrosus,Croat,43264,Costa Rica,,,15,,,,,clu,2,,,,,,2,8,0.357,0.168,2.5,14.88095238,,,0.288,,6,,0.012,0.0064,0.533333333,rum,6,0.5,1,6
mo,Synechanthus,fibrosus,Davidse,32197,Belize,16.32,88.45,250,,,clu,2,clu,2,0.447,0.034,0.07606264,36,5,2,,0.714,0.148,3.1,20.94594595,43,0.255,0.23,0.16,7,,0.0161,0.0113,0.701863354,,7,1.1,1,4
mo,Synechanthus,fibrosus,Davidse,35671,Belize,16.29,88.54,250,,,sol,1,clu,2,0.352,0.029,0.082386364,51,5,2,,,0.209,2.3,11.00478469,,0.29,0.282,0.182,6,6,0.0145,0.0097,0.668965517,rum,9,1,1,5
mo,Synechanthus,fibrosus,Davidse,35972,Belize,16.3,88.54,280,,,sol,1,clu,2,0.489,0.026,0.053169734,33,5,2,,,0.258,4.1,15.89147287,,0.413,0.28,0.2,7,,,,,,,,1,6
