NUMBER,Genus,SPECIES$,LOCALFORMS$,HERBARIUM$,COLLECTOR$,COLNUMBER,COUNTRY$,LATITUDE,DLATITUDE,LONGITUDE,DLONGITUDE,ELEVATION,PLHEIGHT,STEMHEIGHT,STEMDIAMETER,LEAFNUMBER,SHEATH,PETIOLE,RACHISLEN,NODIVISIONS,PROPHYLL,PEDBRACT,DISTANCE,PEDUNCLELEN,PEDUNCLEWID,NORACHILLAE,RACHILLLEN,RACHILLWID,STAMEN,FRUITLEN,FRUITDIAM,FRUITS
4,Welfia,alfredii,,MO,Gentry,63540,Peru,10.4,-10.66,75.15,-75.25,1540,15,,,,,,,65,,,,,,16,,27.9,46,,,
62,Welfia,alfredii,,NY,Henderson,3001,Peru,10.4,-10.66,75.15,-75.25,1550,,12,14,7,64,35,360,81,83,65,,18,,14,62,19.4,44,,,
64,Welfia,alfredii,,NY,Rainer,11231188,Peru,9.27,-9.45,74.46,-74.76,1450,12,8,20,,,,,80,,,,,,8,55,,,,,
101,Welfia,alfredii,,HOXA,Vásquez,35870,Peru,10.39,-10.66222222,75.03,-75.05055556,1574,16,7,20,9,90,34.4,570,76,,,,24,,12,68.75,28.1,,34,28,1
102,Welfia,alfredii,,HOXA,Valenzuela,17505,Peru,9.25,-9.431270311,74.44,-74.74486491,1391,13,6,,7,,,,,,,,,,,,,,,,
103,Welfia,alfredii,,HOXA,Valenzuela,17649,Peru,9.25,-9.431270311,74.44,-74.74486491,1391,9,5,,8,,,,,,,,,,,,,,,,
104,Welfia,alfredii,,HOXA,Valenzuela,19375,Peru,10.24,-10.40999206,75.19,-75.3298954,1401,19,7,16.7,7,77.5,36,374,70,,,,24.5,,12,74.75,28,44,33.1,24.8,1
105,Welfia,alfredii,,NY,Graham,6031,Peru,9.28,-9.46,74.35,-74.58,1725,18.5,,,,65,,550,85,,,,,,10,100,23.5,,35.9,24.9,1
1,Welfia,regia,,MO,Devia,5095,Colombia,3.49,3.82,76.52,-76.86,130,10,,15.5,,,,,,,,,30,,8,75,,,,,
2,Welfia,regia,,MO,Carballo,103,Costa Rica,10.24,10.4,84.03,-84.05,,10,,20,,,,,,,,,,,,,,,,,
3,Welfia,regia,,MO,Barfod,60050,Ecuador,0.05,0.08,79.18,-79.3,500,10,,18,25,,,,35,,,,10,,,60,19.9,,31.4,17,2
5,Welfia,regia,,MO,Salick,8079,Nicaragua,11.08,11.13,84.26,-84.43,70,,,,,,,,,,,,,,,,,,,,
6,Welfia,regia,,MO,Salick,7904,Nicaragua,11.08,11.13,84.22,-84.36,100,,,,,,,,,,,,,,,,,,,,
7,Welfia,regia,,NY,Morales,1501,Costa Rica,10.09,10.16,83.57,-83.95,750,,,,,,,,,,,,,,,,,,,,
8,Welfia,regia,,US,Stevens,9029,Nicaragua,11.49,11.81,84.26,-84.43,175,15,,25,,,,,,,,,,,,72.5,22.4,,32.4,11.6,
9,Welfia,regia,,MO,Rueda,7482,Nicaragua,11.08,11.13,84.38,-84.63,200,10,,,,,,,,,,,,,,,,,,,
10,Welfia,regia,,MO,Rueda,8711,Nicaragua,11.04,11.06,83.51,-83.85,175,12,,,,,,,,,,,,,,,,,,,
11,Welfia,regia,,MO,Rueda,9129,Nicaragua,10.51,10.85,84.1,-84.16,215,10,,,,,,,,,,,,,,,,,,,
12,Welfia,regia,,MO,Rueda,10423,Nicaragua,11.08,11.13,84.21,-84.35,150,20,,,,,,,,,,,,,,,,,,,
13,Welfia,regia,,MO,Rueda,10222,Nicaragua,11.22,11.36,84.01,-84.01,225,8,,,,,,,,,,,,,,,,,,,
14,Welfia,regia,,MO,Duke,15030,Panama,8.38,8.63,80.06,-80.1,,,,,,,,,,,,,,,,,,,,,
