Genus,Species,Collect,Number,Collnum,Herbari,Country,Plheigh,Stemhei,Stemdia,Sheathl,Petiole,Peduncl,Distanc,Prophyl,Pedbrac,Apinlen,Apinwid,Apinang,Bpinang,Bpinlen,Bpinwid,Nodivis,Rachisl,Rachisw,Rachill,Fruitle,Fruitdi,Dlat,Dlong,Elevati
Hyospathe,elegans,Henderson,123,2048,ny,panama,,2,,,,,4,,,28.5,5,20,31,33,4.5,4,27.5,3.1,,,,8.58,-80.67,900
Hyospathe,elegans,de Nevers,124,10585,ny,panama,,4,,,6.5,3.3,,,,22.2,,18,41,,,1,16,1.9,8,,,8.67,-81.08,900
Hyospathe,elegans,de Nevers,130,6373,ny,panama,3,,0.95,20,8.8,2.2,3,,,,8.5,28,35,41.5,7.5,4,35.5,3.2,10,,,8.63,-80.65,700
Hyospathe,elegans,de Nevers,134,6724,ny,panama,,5,1.13,23,11.5,3.3,,,,28,6,20,37,,4.8,7,40.5,5.2,11,,,8.7,-80.47,500
Hyospathe,elegans,Allen,230,1202,mo,panama,3,,0.68,,12,3.5,,,,,,,34,,,1,29,2.7,8,,,8.58,-80.17,600
Hyospathe,elegans,Croat,231,49040,mo,panama,2,,,,,,,,,,,,43,35,1.4,7,,5.1,,,,8.53,-81.08,1325
Hyospathe,elegans,Hammel,232,1622,mo,panama,2,,0.68,16.5,5.5,2,,,,27.5,,25,,,,1,17,3.2,5,,,8.67,-80.42,500
Hyospathe,elegans,Dwyer,245,8850,mo,panama,4,,0.89,,10,3.5,,,,,,,,,,1,,2.9,8,,,8.62,-80.08,1000
Hyospathe,elegans,Antonio,247,1848,mo,panama,3,,0.84,,18,3.8,,,,,,,,,,3,43,3.1,12,,,8.53,-81.08,1000
Hyospathe,elegans,Allen,248,2066,mo,panama,,,,22,,6,4.3,,,28,6,20,40,44.5,7.5,5,39.5,5.2,13,,,8.58,-80.13,600
Hyospathe,elegans,Dwyer,249,4551,mo,panama,3.5,,0.83,17,7.5,,,,,,,,,,,,26,,7,,,8.58,-80.13,800
Hyospathe,elegans,de Nevers,119,8391,ny,panama,,2.25,0.33,6.6,4,2.7,,4.2,8,15.5,,24,30,23.5,,1,8.7,2,2,9.9,7.2,8.07,-77.23,1300
Hyospathe,elegans,Gentry,217,13686,bh,panama,,,0.56,14.5,5.2,2.2,,,,20,,22,40,29,,1,9,1.8,5,,,8.17,-77.25,1400
Hyospathe,elegans,Gentry,218,13695,bh,panama,1.5,,0.32,4.5,4,0.9,,1,,16,,18,27,20.7,,1,5.5,1.5,3,,,8.17,-77.25,1300
Hyospathe,elegans,Gentry,219,13694,bh,panama,2,,0.38,7,5.2,2,,,,13,,20,30,19,,1,6.8,1.4,3,,,8.17,-77.25,1400
Hyospathe,elegans,Gentry,255,16852,mo,colombia,2,,0.43,,4,1.7,,,,18,16,18,30,,,1,9,1.4,3,,,8.55,-77.42,1400
Hyospathe,elegans,Henderson,1,1527,ny,brazil,,,,,14.2,2.5,5.5,,,32,,27,39,,5.8,3,30.5,2.6,13,10.1,6.5,-1.83,-65.25,
Hyospathe,elegans,Ribeiro,2,1602,ny,brazil,2,,1.24,,,3,,,,,,,,,,,,,17,,,,,
Hyospathe,elegans,Krukoff,3,8599,ny,brazil,2.3,,,,,4.1,8,,25.3,,10.8,25,33,,7.5,4,55,4.8,22,,,-3.33,-69,
Hyospathe,elegans,Krukoff,4,8079,ny,brazil,3.3,,,,,2.9,16.7,,,,,18,27,,7.6,3,46.4,5.2,18,,,-3.33,-69,
Hyospathe,elegans,Krukoff,5,4545,ny,brazil,3,,1.17,,,3.4,,,,,,,,,,,,,17,10.1,6.8,-3.25,-64.83,
Hyospathe,elegans,Irwin,6,47716,ny,brazil,5,,1.21,,24.5,3.4,,,,,,,24,68,11.5,3,,5.3,16,,,2.88,-52.37,
Hyospathe,elegans,Rainer,7,25888,ny,peru,3,1.75,0.71,13.7,10,1.5,2.2,,,13.2,5.5,26,45,23.8,3.1,5,24.4,3.3,6,,,-9.47,-74.78,800
Hyospathe,elegans,Schunke,8,1639,ny,peru,1.5,,0.68,,,2.7,,,,,,,23,,,,,,10,,,-8.92,-74.67,350
Hyospathe,elegans,Jansen-Jacob,9,2998,ny,guyana,1.5,,0.83,,18.3,2.2,,,,33,10.2,28,36,42,6,,,3.2,8,,,2,-59.25,200
Hyospathe,elegans,Galeano,11,1321,ny,colombia,,3,,,,,,,,,,,,,,3,,5.5,,11.8,4.9,-0.5,-72.25,200
Hyospathe,elegans,Chavez,12,701,ny,peru,,2.5,,,,3.7,,,,,,,,,,3,,,18,,,-11.88,-71.97,400
Hyospathe,elegans,Chavez,13,644,ny,peru,,2,,,,3,,,,28.5,5.3,24,,,,,,,21,,,-11.88,-71.58,400
Hyospathe,elegans,Vasquez,14,14453,ny,peru,2,,0.89,17.1,9,4.4,,,,,,,,,,,,3.1,19,,,-3.75,-73.25,
Hyospathe,elegans,Listabarth,15,1210589,ny,peru,2.75,3,,24.5,,3.8,7.3,,,,,,45,,7,,,5.3,13,,,-9.62,-74.93,260
Hyospathe,elegans,Shiki,16,107,ny,ecuador,4,,,,27.3,,,,,,,,,,,,,,,13.9,7.2,-2.33,-77.68,500
Hyospathe,elegans,Killip,17,26770,ny,peru,,1.6,0.79,19.4,20,2.1,5,,,,7.6,25,40,32,6,4,31,2.9,16,,,,,340
Hyospathe,elegans,Elcoro,18,66,ny,venezuela,3,,0.64,,,2.3,,,,,,,36,,,1,,2.9,14,,,4.17,-63.75,440
Hyospathe,elegans,Steyermark,19,90577,ny,venezuela,,,0.86,,19,2.4,,,,,,,,,,,,3.7,14,,,4.05,-63.05,525
Hyospathe,elegans,Steyermark,20,113041,ny,venezuela,2,,,,17,,,,,,,,24,,,,,3.4,,,,,,255
Hyospathe,elegans,Steyermark,22,124283,ny,venezuela,,,0.7,19,15.8,2.1,3.2,,,,,,34,37,9.1,3,,2.7,12,,,3.75,-62.83,400
Hyospathe,elegans,Clarke,23,3603,ny,guyana,1.5,,,,24.5,3.5,6,,,,12,22,47,,11.5,3,57.5,5.9,10,10.2,7.2,2.98,-58.58,150
Hyospathe,elegans,Clarke,24,7521,ny,guyana,1.5,,,,14.5,4.3,4,,,28.5,18,19,30,38.8,6.1,2,26.3,2.7,13,,,1.32,-58.95,850
Hyospathe,elegans,Mori,25,22946,ny,french guian,3.5,,0.76,17,12,3.2,,,,,,,,,,4,40,,16,9.6,6.3,3.62,-53.2,300
Hyospathe,elegans,Henderson,26,1650,ny,brazil,,1.43,1.01,,7,3.4,,,,,,,,,,3,53,,12,,,-8.33,-75.25,
Hyospathe,elegans,Vasquez,28,12996,ny,peru,1.5,,0.84,,9.5,2.8,4,,,,19,,31,37,11,2,35,3.3,12,,,-3.5,-73.08,108
Hyospathe,elegans,Smith,29,1996,ny,peru,4,,0.62,13.3,9,2.2,,,,,5.5,30,,,,3,,2.6,18,,,-10.18,-75.2,525
Hyospathe,elegans,De Jong,30,160,ny,peru,,,,,,4.5,,,,,,,,,,3,,,21,,,-4.92,-73.75,120
Hyospathe,elegans,Rainer,31,13988,ny,peru,3.5,3,0.9,23.5,9.4,,,16.8,26,,,,,21,1.2,10,43.3,3,,,,-9.45,-74.77,1560
Hyospathe,elegans,Hoffman,32,3837,ny,guyana,3,,1.04,18.5,24.2,4.1,,,,,,,,,,,,,16,11.1,7.6,3.37,-59.47,600
Hyospathe,elegans,Silveira,33,1254,ny,brazil,2,,1.17,,20.5,4.1,,,,,,,,,,,,,13,,,-7.47,-73.62,
Hyospathe,elegans,Silveira,34,1177,ny,brazil,,1,0.76,,6.5,1.9,,,,21.7,,16,21,,,1,34.5,3.3,12,,,-8.3,-71.15,
Hyospathe,elegans,Listabarth,35,1210589,ny,peru,2.75,3,,26,,3,,13.4,37.5,,,,,,,3,,,15,,,-9.62,-74.93,260
Hyospathe,elegans,Vega,36,8689,ny,peru,3,,0.83,,33,4.5,,,,,,,,,,,,5.7,39,,,-5.67,-77.7,1535
Hyospathe,elegans,Irwin,37,47290,ny,brazil,,,0.86,14.5,18.5,,,,,,,,27,,9.7,,,4.5,11,,,3.75,-51.87,
Hyospathe,elegans,Balslev,38,60682,ny,ecuador,2,,0.98,,13,2.4,,,,24,9.2,30,62,,,3,40.5,4,27,,,-0.53,-76.38,300
Hyospathe,elegans,Espinoza,39,499,ny,ecuador,2,,1.21,,,,,,,,,,,,,,,,,,,-1.78,-76.8,365
Hyospathe,elegans,Stoffers,40,249,ny,guyana,2.5,,0.96,,,3.9,3.8,,,,,,31,51.5,9,3,,3.2,15,,,2.25,-59.17,350
Hyospathe,elegans,Henderson,41,1040,ny,brazil,,,,,,,,18,26.5,,,,,,,,,,,,,-2.33,-59.83,
Hyospathe,elegans,Stergios,42,13001,ny,venezuela,,,,,,,,,,,,,,,,,,,,12.4,6.8,5.95,-64.43,
Hyospathe,elegans,Cruxent,44,112,ny,venezuela,,,0.66,,,2.4,,,,,,,,,,,,,15,,,2.17,-64,370
Hyospathe,elegans,Delgado,45,1593,ny,venezuela,2,,,,,4,,27,26.5,36.5,9,24,,,,3,,,,,,5.35,-65.02,55
Hyospathe,elegans,Bergmann,47,62129,ny,ecuador,,2.5,,30,29.5,,3.7,16.5,26.5,,11.8,25,66,52,2.8,19,91.5,5.2,,,,-0.43,-76.07,250
Hyospathe,elegans,Mori,48,10800,ny,french guian,2,,0.84,15.5,15.8,2.4,2,,,,,,44,40.5,6.5,3,29.5,3.9,15,,,3.6,-53.27,600
Hyospathe,elegans,de Granville,49,10893,ny,french guian,,,,,13,1.5,6.5,,,,,,58,34,3.2,3,30,3.6,11,14.6,7,3.55,-53.92,680
Hyospathe,elegans,Knab-Vispo,50,696,ny,venezuela,3,,0.74,,10,2.5,,,,,,,35,46,10,,,3.5,13,9.9,7.9,6.2,-64.5,100
Hyospathe,elegans,Henkel,54,5064,ny,guyana,2,,1.13,,,4.8,9,,,,12.5,25,35,65.5,9,3,60.5,4.8,,9.8,8.4,1.27,-58.6,600
Hyospathe,elegans,Prance,55,1471,ny,brazil,2,,0.9,14.5,11.5,2.9,5,,,,,,,,7.5,3,29,3.6,11,,,-2.68,-50.73,
Hyospathe,elegans,Pires,56,51274,ny,brazil,1.5,,0.93,,21,1.9,9.4,,,,,,42,,8,3,43,4.2,14,,,1.18,-52.13,
Hyospathe,elegans,Henderson,57,1114,ny,brazil,,2,0.81,,7.7,2.1,9,16,19,,7.2,20,18,52.8,12.5,3,40.3,3.9,10,,,-7.42,-73.63,
Hyospathe,elegans,Prance,58,30629,ny,french guian,,1.5,0.89,12.5,10,2,3,,14,30.5,7.4,17,30,36,4.5,4,28.5,,15,,,3.62,-53.2,
Hyospathe,elegans,Atsut,59,1007,ny,peru,,,1.35,,,4.6,,,,,,,,,,,,,26,,,-4.5,-78.63,225
Hyospathe,elegans,Vazquez,60,18759,ny,peru,4,,1.13,18,19,,,,,,,,,,11,3,49.5,4.1,,10.6,6.2,-4.92,-78.32,320
Hyospathe,elegans,Killip,61,28546,ny,peru,,1.3,1.72,,16,6.6,,,,,,,,,,3,78,8.4,18,7.9,6.7,-5.75,-76.5,450
Hyospathe,elegans,Salick,62,7668,ny,peru,1,,,,,,,,,,,,,,,,,,,,,-10.15,-75.2,
Hyospathe,elegans,Killip,63,26540,ny,peru,3,,,,,2,6.5,,,28,6,26,,,3,3,29.5,3.5,18,,,,,375
Hyospathe,elegans,Koyama,64,7315,ny,venezuela,2.5,,0.91,18.5,17.5,2.3,5.3,,,,7.5,20,30,45.5,6.5,5,41.5,3.1,14,,,5.68,-62.42,500
Hyospathe,elegans,Vargas,65,2479,ny,bolivia,1.75,1,,,,,,,,,,,,,,,,,,,,-17.4,-64.25,375
Hyospathe,elegans,Mori,66,24169,ny,french guian,1.5,,,,17.5,4,6.8,20.5,,40,10.5,28,45,50,5,5,53.5,4.3,16,,,3.62,-53.2,
Hyospathe,elegans,Valera,69,13,ny,venezuela,,,0.71,15,15.5,3.5,,,,,14,,45,38,5,2,26.3,2.9,14,,,1.37,-65.05,470
Hyospathe,elegans,Fernandez,70,7052,ny,venezuela,3,,0.94,,,3,,,,,,,,,,,,,17,12.9,6.3,2.93,-64.55,215
Hyospathe,elegans,Clarke,71,8171,ny,guyana,1,,,,16.5,,,,,26.8,7.7,26,,,4.5,3,31.5,3.1,,,,1.55,-59.23,150
Hyospathe,elegans,Beck,72,60,ny,brazil,,,,,,,,,,,,,,,,,,,,,,-0.25,-52.5,
Hyospathe,elegans,Bordenave,73,398,ny,french guian,2,,,,15,2.7,,,,,,,,,,,,2.7,12,,,-4.7,-52.97,126
Hyospathe,elegans,Pipoly,75,12487,ny,peru,1.5,,0.66,,,3.5,,,,,,,21,,,2,38,3.3,10,,,-3.5,-72.83,110
Hyospathe,elegans,Beck,76,284,ny,brazil,2,,0.99,20,16.5,3.4,,,,,,,39,,9,,,4.6,18,,,-0.95,-49.8,
Hyospathe,elegans,Maguire,77,24155,ny,surinam,,,0.81,,15,5.3,5,,,28,7,22,45,42,8,3,32.5,3.5,13,,,4,-56.5,
Hyospathe,elegans,Oviedo,78,2,ny,bolivia,3.08,,,17.7,11.5,4.6,,,,,,,,,,3,,3.1,16,,,,,200
Hyospathe,elegans,Henderson,79,2003,ny,peru,,,,,,,3.2,,,32.5,23,17,27,44.5,10,2,36.5,,,,,-3.75,-73.35,
Hyospathe,elegans,Mori,80,18106,ny,french guian,2,,1.04,16,17,3.5,5.2,,,29,,23,36,,5.8,4,32.5,3.6,10,,,3.62,-53.2,275
Hyospathe,elegans,Ferreira,81,147,ny,brazil,,1.59,1.35,,,5.6,5.5,,,,16.5,18,20,,21,3,74,6.8,,9.9,5.4,-9.2,-72.23,
Hyospathe,elegans,Fleck,82,503,ny,peru,,2.35,1.47,,24,3.8,2,,,,,,,42,0.5,17,,,29,8.3,5,-5.28,-73.17,150
Hyospathe,elegans,Maguire,83,24116,ny,surinam,,2,0.86,,,3,5.3,,,33,8.5,20,31,45,7,3,36,2.8,16,,,,,
Hyospathe,elegans,Salick,84,7174,ny,peru,,,,,,,5.4,,,,6.7,27,40,30,4.6,3,30,2.5,,,,-10.17,-75.17,
Hyospathe,elegans,Maas,85,12706,ny,brazil,3,,,,30,,,,,,,,,,,37,,,,,,-7.5,-74.25,
Hyospathe,elegans,Prance,86,11810,ny,brazil,2,,0.91,14.5,12,2.1,,,,,,,,,,3,25.5,3.3,15,,,-7.67,-72.5,
Hyospathe,elegans,Christenson,87,1856,ny,french guian,2,,,,,5,7,,,,,,35,52.5,8.8,3,44,3.6,17,,,5,-53,
Hyospathe,elegans,Ancuash,88,1039,ny,peru,4,,1.74,,,4.5,,,,,,,,,,,,5.5,14,,,-4.5,-78.5,225
Hyospathe,elegans,Kujikat,89,337,ny,peru,3,,1.56,,,4.2,,,,,,,,,,,,,,,,-4.5,-78.5,225
